sample,true_index,true_label,predicted_index,predicted_label,confidence,correct,metric_producer
0,0,low_250_hz,0,low_250_hz,0.35434773564338684,True,SOInet
1,0,low_250_hz,1,middle_500_hz,0.35428115725517273,False,SOInet
2,1,middle_500_hz,1,middle_500_hz,0.36953574419021606,True,SOInet
3,1,middle_500_hz,1,middle_500_hz,0.36866340041160583,True,SOInet
4,2,high_1000_hz,2,high_1000_hz,0.4345901310443878,True,SOInet
5,2,high_1000_hz,2,high_1000_hz,0.4368512034416199,True,SOInet
