family,grid_points,contracts,maximum_residual_l2,mean_residual_l2,minimum_source_necessity,all_finite
elastic_dubler,9,9,1.5076237717850973,0.2204618136067671,0.03821508896462865,True
elastic_dubler,17,9,2.0694202191260214,0.2826441536572066,0.05350050552272051,True
elastic_dubler,33,9,2.8815483114234706,0.37281201069676356,0.038349835115088576,True
locality_driven_gravity,9,6,2.994942650240715,0.8690778025769533,0.1080510116302007,True
locality_driven_gravity,17,6,3.9517101391666003,1.0296930473933084,0.14433174319399836,True
locality_driven_gravity,33,6,5.37501525063692,1.2678057299783152,0.2005176453209155,True
black_hole_dynamics,9,4,0.8431010364760373,0.45639318708998067,0.01882275862423865,True
black_hole_dynamics,17,4,1.1214292262505885,0.6189242041640937,0.024907420847616765,True
black_hole_dynamics,33,4,1.5370068239253027,0.8560246273848118,0.03401618967726193,True
elastic_pi_ripples,9,4,3.336446474703022e-16,8.394215679124266e-17,0.027587697416389074,True
elastic_pi_ripples,17,4,2.0175020021024768,0.5511941224499318,0.07568587985741711,True
elastic_pi_ripples,33,4,8.512238543624672,2.1963888377044314,0.0884252638145105,True
