Input,FP_Result,Standard_Result
0.0,0.0,0.0
0.02506265664160401,0.0006281367579349375,0.0006281367579349375
0.05012531328320802,0.00251254703173975,0.00251254703173975
0.07518796992481203,0.005653230821414438,0.005653230821414438
0.10025062656641603,0.010050188126959,0.010050188126959
0.12531328320802004,0.01570341894837344,0.01570341894837344
0.15037593984962405,0.02261292328565775,0.02261292328565775
0.17543859649122806,0.03077870113881194,0.03077870113881194
0.20050125313283207,0.040200752507836,0.040200752507836
0.22556390977443608,0.05087907739272994,0.05087907739272994
0.2506265664160401,0.06281367579349376,0.06281367579349376
0.2756892230576441,0.07600454771012743,0.07600454771012743
0.3007518796992481,0.090451693142631,0.090451693142631
0.3258145363408521,0.10615511209100444,0.10615511209100444
0.3508771929824561,0.12311480455524776,0.12311480455524776
0.37593984962406013,0.14133077053536094,0.14133077053536094
0.40100250626566414,0.160803010031344,0.160803010031344
0.42606516290726815,0.18153152304319695,0.18153152304319695
0.45112781954887216,0.20351630957091976,0.20351630957091976
0.47619047619047616,0.22675736961451246,0.22675736961451246
0.5012531328320802,0.251254703173975,0.251254703173975
0.5263157894736842,0.27700831024930744,0.27700831024930744
0.5513784461152882,0.30401819084050974,0.30401819084050974
0.5764411027568922,0.33228434494758197,0.33228434494758197
0.6015037593984962,0.361806772570524,0.361806772570524
0.6265664160401002,0.39258547370933594,0.39258547370933594
0.6516290726817042,0.42462044836401774,0.42462044836401774
0.6766917293233082,0.4579116965345695,0.4579116965345695
0.7017543859649122,0.49245921822099104,0.49245921822099104
0.7268170426065163,0.5282630134232824,0.5282630134232824
0.7518796992481203,0.5653230821414438,0.5653230821414438
0.7769423558897243,0.6036394243754749,0.6036394243754749
0.8020050125313283,0.643212040125376,0.643212040125376
0.8270676691729323,0.6840409293911469,0.6840409293911469
0.8521303258145363,0.7261260921727878,0.7261260921727878
0.8771929824561403,0.7694675284702984,0.7694675284702984
0.9022556390977443,0.814065238283679,0.814065238283679
0.9273182957393483,0.8599192216129294,0.8599192216129294
0.9523809523809523,0.9070294784580498,0.9070294784580498
0.9774436090225563,0.95539600881904,0.95539600881904
1.0025062656641603,1.0050188126959,1.0050188126959
1.0275689223057642,1.0558978900886298,1.0558978900886298
1.0526315789473684,1.1080332409972298,1.1080332409972298
1.0776942355889725,1.1614248654216996,1.1614248654216996
1.1027568922305764,1.216072763362039,1.216072763362039
1.1278195488721803,1.2719769348182481,1.2719769348182481
1.1528822055137844,1.3291373797903279,1.3291373797903279
1.1779448621553885,1.3875540982782772,1.3875540982782772
1.2030075187969924,1.447227090282096,1.447227090282096
1.2280701754385963,1.5081563558017848,1.5081563558017848
1.2531328320802004,1.5703418948373438,1.5703418948373438
1.2781954887218046,1.6337837073887729,1.6337837073887729
1.3032581453634084,1.698481793456071,1.698481793456071
1.3283208020050123,1.7644361530392392,1.7644361530392392
1.3533834586466165,1.831646786138278,1.831646786138278
1.3784461152882206,1.9001136927531863,1.9001136927531863
1.4035087719298245,1.9698368728839641,1.9698368728839641
1.4285714285714284,2.040816326530612,2.040816326530612
1.4536340852130325,2.1130520536931297,2.1130520536931297
1.4786967418546366,2.186544054371518,2.186544054371518
1.5037593984962405,2.261292328565775,2.261292328565775
1.5288220551378444,2.3372968762759023,2.3372968762759023
1.5538847117794485,2.4145576975018996,2.4145576975018996
1.5789473684210527,2.4930747922437675,2.4930747922437675
1.6040100250626566,2.572848160501504,2.572848160501504
1.6290726817042605,2.653877802275111,2.653877802275111
1.6541353383458646,2.7361637175645876,2.7361637175645876
1.6791979949874687,2.819705906369935,2.819705906369935
1.7042606516290726,2.904504368691151,2.904504368691151
1.7293233082706765,2.9905591045282374,2.9905591045282374
1.7543859649122806,3.0778701138811937,3.0778701138811937
1.7794486215538847,3.1664373967500206,3.1664373967500206
1.8045112781954886,3.256260953134716,3.256260953134716
1.8295739348370925,3.3473407830352815,3.3473407830352815
1.8546365914786966,3.4396768864517178,3.4396768864517178
1.8796992481203008,3.533269263384024,3.533269263384024
1.9047619047619047,3.6281179138321993,3.6281179138321993
1.9298245614035086,3.724222837796244,3.724222837796244
1.9548872180451127,3.82158403527616,3.82158403527616
1.9799498746867168,3.9202015062719457,3.9202015062719457
2.0050125313283207,4.0200752507836,4.0200752507836
2.0300751879699246,4.121205268811124,4.121205268811124
2.0551378446115285,4.223591560354519,4.223591560354519
2.080200501253133,4.327234125413785,4.327234125413785
2.1052631578947367,4.432132963988919,4.432132963988919
2.1303258145363406,4.538288076079923,4.538288076079923
2.155388471177945,4.645699461686799,4.645699461686799
2.180451127819549,4.754367120809543,4.754367120809543
2.2055137844611528,4.864291053448156,4.864291053448156
2.2305764411027567,4.97547125960264,4.97547125960264
2.2556390977443606,5.087907739272993,5.087907739272993
2.280701754385965,5.201600492459218,5.201600492459218
2.305764411027569,5.3165495191613115,5.3165495191613115
2.3308270676691727,5.432754819379274,5.432754819379274
2.355889724310777,5.550216393113109,5.550216393113109
2.380952380952381,5.668934240362812,5.668934240362812
2.406015037593985,5.788908361128384,5.788908361128384
2.4310776942355887,5.910138755409827,5.910138755409827
2.4561403508771926,6.032625423207139,6.032625423207139
2.481203007518797,6.156368364520323,6.156368364520323
2.506265664160401,6.281367579349375,6.281367579349375
2.5313283208020048,6.407623067694297,6.407623067694297
2.556390977443609,6.5351348295550915,6.5351348295550915
2.581453634085213,6.663902864931753,6.663902864931753
2.606516290726817,6.793927173824284,6.793927173824284
2.631578947368421,6.925207756232686,6.925207756232686
2.6566416040100247,7.057744612156957,7.057744612156957
2.681704260651629,7.1915377415971005,7.1915377415971005
2.706766917293233,7.326587144553112,7.326587144553112
2.731829573934837,7.462892821024992,7.462892821024992
2.756892230576441,7.600454771012745,7.600454771012745
2.781954887218045,7.739272994516366,7.739272994516366
2.807017543859649,7.879347491535857,7.879347491535857
2.832080200501253,8.020678262071216,8.020678262071216
2.8571428571428568,8.163265306122447,8.163265306122447
2.882205513784461,8.30710862368955,8.30710862368955
2.907268170426065,8.452208214772519,8.452208214772519
2.932330827067669,8.598564079371359,8.598564079371359
2.9573934837092732,8.746176217486072,8.746176217486072
2.982456140350877,8.89504462911665,8.89504462911665
3.007518796992481,9.0451693142631,9.0451693142631
3.032581453634085,9.19655027292542,9.19655027292542
3.057644110275689,9.34918750510361,9.34918750510361
3.082706766917293,9.50308101079767,9.50308101079767
3.107769423558897,9.658230790007599,9.658230790007599
3.132832080200501,9.814636842733398,9.814636842733398
3.1578947368421053,9.97229916897507,9.97229916897507
3.182957393483709,10.131217768732608,10.131217768732608
3.208020050125313,10.291392642006016,10.291392642006016
3.233082706766917,10.452823788795294,10.452823788795294
3.258145363408521,10.615511209100443,10.615511209100443
3.2832080200501252,10.779454902921463,10.779454902921463
3.308270676691729,10.94465487025835,10.94465487025835
3.333333333333333,11.111111111111109,11.111111111111109
3.3583959899749374,11.27882362547974,11.27882362547974
3.3834586466165413,11.447792413364237,11.447792413364237
3.408521303258145,11.618017474764605,11.618017474764605
3.433583959899749,11.789498809680842,11.789498809680842
3.458646616541353,11.96223641811295,11.96223641811295
3.4837092731829573,12.136230300060928,12.136230300060928
3.508771929824561,12.311480455524775,12.311480455524775
3.533834586466165,12.487986884504492,12.487986884504492
3.5588972431077694,12.665749587000082,12.665749587000082
3.5839598997493733,12.844768563011538,12.844768563011538
3.6090225563909772,13.025043812538865,13.025043812538865
3.634085213032581,13.20657533558206,13.20657533558206
