t_idx,y=-6.00,y=-5.91,y=-5.81,y=-5.72,y=-5.62,y=-5.53,y=-5.43,y=-5.34,y=-5.24,y=-5.15,y=-5.06,y=-4.96,y=-4.87,y=-4.77,y=-4.68,y=-4.58,y=-4.49,y=-4.39,y=-4.30,y=-4.20,y=-4.11,y=-4.02,y=-3.92,y=-3.83,y=-3.73,y=-3.64,y=-3.54,y=-3.45,y=-3.35,y=-3.26,y=-3.17,y=-3.07,y=-2.98,y=-2.88,y=-2.79,y=-2.69,y=-2.60,y=-2.50,y=-2.41,y=-2.31,y=-2.22,y=-2.13,y=-2.03,y=-1.94,y=-1.84,y=-1.75,y=-1.65,y=-1.56,y=-1.46,y=-1.37,y=-1.28,y=-1.18,y=-1.09,y=-0.99,y=-0.90,y=-0.80,y=-0.71,y=-0.61,y=-0.52,y=-0.43,y=-0.33,y=-0.24,y=-0.14,y=-0.05,y=0.05,y=0.14,y=0.24,y=0.33,y=0.43,y=0.52,y=0.61,y=0.71,y=0.80,y=0.90,y=0.99,y=1.09,y=1.18,y=1.28,y=1.37,y=1.46,y=1.56,y=1.65,y=1.75,y=1.84,y=1.94,y=2.03,y=2.13,y=2.22,y=2.31,y=2.41,y=2.50,y=2.60,y=2.69,y=2.79,y=2.88,y=2.98,y=3.07,y=3.17,y=3.26,y=3.35,y=3.45,y=3.54,y=3.64,y=3.73,y=3.83,y=3.92,y=4.02,y=4.11,y=4.20,y=4.30,y=4.39,y=4.49,y=4.58,y=4.68,y=4.77,y=4.87,y=4.96,y=5.06,y=5.15,y=5.24,y=5.34,y=5.43,y=5.53,y=5.62,y=5.72,y=5.81,y=5.91,y=6.00
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.989643018242135e-13,-5.968929054726405e-13,-2.2880894709784554e-12,-8.455982827529073e-12,-2.8949305915423064e-11,-9.73930257429525e-11,-3.182434007678295e-10,-1.0153148322089615e-09,-3.1566681305920592e-09,-9.56739741751913e-09,-2.8264669752845946e-08,-8.138992901862736e-08,-2.2842812942415398e-07,-6.24816251965707e-07,-1.665526887659511e-06,-4.3262988794386735e-06,-1.0949981648251218e-05,-2.7002602576943424e-05,-6.487136990656578e-05,-0.00015181392323231896,-0.0003460449923496626,-0.0007681784369754298,-0.0016605057959872978,-0.003494625557039327,-0.007159258035717629,-0.014274409570697788,-0.027693350413225522,-0.05226502038717778,-0.09592681168517281,-0.17116604710054126,-0.2968078991081814,-0.4999369512275657,-0.8175253152100217,-1.2970290125911264,-1.9948703059231034,-2.9714430981960214,-4.2812141494612,-5.956836480280727,-7.98712540059968,-10.290364822203442,-12.686616281605781,-14.875127248161574,-16.424914977619355,-16.78726290634008,-15.337340198594905,-11.447904687344844,-4.59121748543865,5.543058587423021,18.934133312897657,35.14571591669532,53.29597648746459,72.10009122561173,89.99074412744713,110.35549640596354,167.62858105465116,0.0,0.0,167.62858105465116,110.35549640596672,89.99074412744554,72.10009122561173,53.29597648746459,35.14571591669373,18.934133312900045,5.543058587421429,-4.59121748543865,-11.447904687344844,-15.337340198595104,-16.787262906340477,-16.42491497761826,-14.875127248161972,-12.68661628160597,-10.290364822203442,-7.98712540059973,-5.956836480280528,-4.28121414946125,-2.9714430981960214,-1.9948703059231034,-1.2970290125911264,-0.8175253152100217,-0.4999369512274662,-0.2968078991081814,-0.17116604710054126,-0.09592681168517281,-0.05226502038717778,-0.027693350413225522,-0.014274409570697788,-0.007159258035717629,-0.003494625557039327,-0.0016605057959872978,-0.0007681784368759476,-0.0003460449923496626,-0.0001518139233318011,-6.487136990656578e-05,-2.7002602576943424e-05,-1.0949981648251218e-05,-4.3262988794386735e-06,-1.665526887659511e-06,-6.24816251965707e-07,-2.2842812942415398e-07,-8.138992901862736e-08,-2.8264669752845946e-08,-9.56739741751913e-09,-3.1566681305920592e-09,-1.0154143143598737e-09,-3.183428829187416e-10,-9.73930257429525e-11,-2.8949305915423064e-11,-8.455982827529073e-12,-2.2880894709784554e-12,-6.963750563847472e-13,-1.989643018242135e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.948215091210675e-14,-1.989643018242135e-13,-7.95857207296854e-13,-2.9844645273632023e-12,-1.0346143694859102e-11,-3.5216681422885786e-11,-1.1738893807628597e-10,-3.8101663799336883e-10,-1.205027293998349e-09,-3.7169516045290444e-09,-1.1177814476484314e-08,-3.2771410153466205e-08,-9.366632488763408e-08,-2.6097421250580426e-07,-7.087787894069214e-07,-1.876265498937078e-06,-4.840803552508284e-06,-1.2171565159732963e-05,-2.9822521040162076e-05,-7.119850404363496e-05,-0.00016560811031921958,-0.00037525598994286386,-0.0008282373777280526,-0.0017803403402894056,-0.0037265344635619407,-0.007594268094408252,-0.01506470457574499,-0.02908259758178628,-0.05462534312111692,-0.09979710376335649,-0.1772797812216346,-0.30608962826147806,-0.5134366045753059,-0.8362512488932143,-1.3216398622139833,-2.025199039204651,-3.0058614333618277,-4.31590580244602,-5.985130316641982,-7.999129747297245,-10.27321369071516,-12.625648136823605,-14.75622707648128,-16.23803520695079,-16.530805807619192,-15.022688800457297,-11.103034836953318,-4.262144849750249,5.794119932221871,19.034532219450643,35.02185299003942,52.885331982836625,71.36369583424288,88.9234696021225,103.94142487522868,162.33609190174323,25.902327636619557,25.902327636619557,162.33609190174164,103.94142487523186,88.9234696021209,71.36369583424447,52.885331982836625,35.021852990038624,19.03453221945144,5.794119932221075,-4.262144849750249,-11.103034836953716,-15.022688800457297,-16.53080580761939,-16.238035206950293,-14.75622707648128,-12.625648136823804,-10.273213690715185,-7.999129747297196,-5.985130316641882,-4.31590580244597,-3.005861433361927,-2.0251990392045514,-1.3216398622138839,-0.8362512488932143,-0.5134366045754054,-0.30608962826147806,-0.17727978122173407,-0.09979710376335649,-0.05462534312111692,-0.029082597581885763,-0.01506470457574499,-0.007594268094408252,-0.0037265344635619407,-0.0017803403402894056,-0.0008282373777280526,-0.00037525598994286386,-0.00016560811031921958,-7.119850404363496e-05,-2.9822520940679927e-05,-1.2171565159732963e-05,-4.840803552508284e-06,-1.8762655984192289e-06,-7.087787894069214e-07,-2.6097421250580426e-07,-9.366632488763408e-08,-3.2771410153466205e-08,-1.1177814476484314e-08,-3.7170510866799565e-09,-1.205027293998349e-09,-3.8091715584245673e-10,-1.1738893807628597e-10,-3.5216681422885786e-11,-1.0346143694859102e-11,-2.9844645273632023e-12,-7.95857207296854e-13,-1.989643018242135e-13,-9.948215091210675e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.948215091210675e-14,-2.9844645273632026e-13,-9.948215091210674e-13,-3.68083958374795e-12,-1.253475101492545e-11,-4.287680704311801e-11,-1.413641364461037e-10,-4.5463342966832786e-10,-1.426773008381435e-09,-4.366172121381453e-09,-1.3029674715713181e-08,-3.7914637355622123e-08,-1.0757263631718474e-07,-2.975742927192738e-07,-8.025306689443399e-07,-2.1099459874829383e-06,-5.407462141122169e-06,-1.350809711316482e-05,-3.288791230764926e-05,-7.803317900372775e-05,-0.00018041745127620902,-0.00040642915915522576,-0.0008919568167500621,-0.0019067554740801224,-0.003969821073449974,-0.008048149267906386,-0.015884922418340067,-0.030516987651059122,-0.05705000840172409,-0.1037530808595994,-0.18349808612971344,-0.3154838176374192,-0.5270323375720027,-0.8550149124442705,-1.3461683216113125,-2.0552467820043265,-3.039716490168414,-4.349685385932492,-6.012147374793345,-8.009567655339735,-10.25441038702844,-12.563295668530248,-14.636699905745441,-16.051847753127614,-16.276875976460545,-14.71270456901689,-10.76488616327343,-3.941221737229766,6.036831720865165,19.12814257257315,34.89483306792879,52.477185545930524,70.63700399044907,87.8737830563367,102.60257053846314,142.17126192482576,61.444109291833456,61.444109291833456,142.17126192482576,102.60257053846473,87.8737830563367,70.63700399044907,52.47718554593132,34.894833067928,19.128142572573946,6.036831720865165,-3.941221737230562,-10.764886163273031,-14.712704569017486,-16.276875976460744,-16.051847753127117,-14.636699905745441,-12.563295668530298,-10.254410387028514,-8.009567655339735,-6.012147374793296,-4.349685385932542,-3.039716490168414,-2.055246782004426,-1.346168321611213,-0.8550149124442705,-0.5270323375720027,-0.3154838176374192,-0.18349808612971344,-0.10375308085969888,-0.05705000840172409,-0.030516987651059122,-0.015884922418340067,-0.008048149267906386,-0.003969821073449974,-0.0019067554740801224,-0.0008919568167500621,-0.00040642915915522576,-0.00018041745127620902,-7.803317900372775e-05,-3.288791230764926e-05,-1.350809711316482e-05,-5.407462141122169e-06,-2.1099458880007872e-06,-8.025306689443399e-07,-2.9757439220142473e-07,-1.0757263631718474e-07,-3.7914637355622123e-08,-1.3029674715713181e-08,-4.366172121381453e-09,-1.426773008381435e-09,-4.5463342966832786e-10,-1.413641364461037e-10,-4.287680704311801e-11,-1.253475101492545e-11,-3.68083958374795e-12,-9.948215091210674e-13,-2.9844645273632026e-13,-9.948215091210675e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.948215091210675e-14,-3.97928603648427e-13,-1.193785810945281e-12,-4.476696791044804e-12,-1.5419733391376547e-11,-5.1830200625207615e-11,-1.695175851542299e-10,-5.411829009618607e-10,-1.6851281543001761e-09,-5.116963914315123e-09,-1.5154812423497606e-08,-4.3772146401326967e-08,-1.232946959651832e-07,-3.386577350278993e-07,-9.07031097477057e-07,-2.3686394721969315e-06,-6.030592668040671e-06,-1.4968254839160094e-05,-3.621555941619245e-05,-8.540657030433268e-05,-0.000196297412177564,-0.0004396586704871768,-0.0009594885454990343,-0.002039981735604775,-0.0042248113628517835,-0.008521321709028707,-0.016735535639495706,-0.0319969314991398,-0.0595391428709712,-0.10779422595511556,-0.18981930699689703,-0.3249871098234387,-0.540718614164986,-0.8738084779432145,-1.3706048919597376,-2.085004108929017,-3.073002035594644,-4.38255424713193,-6.037901549734679,-8.018469709085633,-10.234003466315441,-12.49962157637954,-14.516611944318505,-15.866404704608104,-16.02548897797896,-14.407344365133993,-10.433342122672112,-3.6282589093754387,6.271433618100307,19.21520893283483,34.764841491766546,52.071591922427345,69.91987725168569,86.84131591729043,101.28813440229867,122.27911577780256,96.53365628349019,96.53365628349019,122.27911577780415,101.28813440229867,86.84131591729043,69.91987725168569,52.071591922427345,34.764841491766546,19.215208932835626,6.271433618099511,-3.6282589093758366,-10.433342122672112,-14.407344365134191,-16.02548897797916,-15.866404704607806,-14.516611944318505,-12.49962157637959,-10.234003466315565,-8.018469709085682,-6.03790154973453,-4.38255424713193,-3.0730020355947434,-2.085004108929017,-1.3706048919597376,-0.8738084779432145,-0.540718614164986,-0.3249871098234387,-0.18981930699689703,-0.10779422595501609,-0.0595391428709712,-0.0319969314991398,-0.016735535639495706,-0.008521321708929226,-0.0042248113628517835,-0.002039981735604775,-0.0009594885454990343,-0.0004396586704871768,-0.000196297412177564,-8.540657040381483e-05,-3.62155595156746e-05,-1.4968254839160094e-05,-6.030592767522822e-06,-2.3686394721969315e-06,-9.07031097477057e-07,-3.386577350278993e-07,-1.232946959651832e-07,-4.3772146401326967e-08,-1.5154712941346694e-08,-5.116963914315123e-09,-1.6851281543001761e-09,-5.412823831127728e-10,-1.695175851542299e-10,-5.1830200625207615e-11,-1.5419733391376547e-11,-4.476696791044804e-12,-1.2932679618573877e-12,-3.97928603648427e-13,-9.948215091210675e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.948215091210675e-14,-3.97928603648427e-13,-1.4922322636816011e-12,-5.571000451077978e-12,-1.8802126522388175e-11,-6.257427292371514e-11,-2.0294358786069777e-10,-6.427541770431217e-10,-1.9853652857529144e-09,-5.983254484457748e-09,-1.7587946870505912e-08,-5.043018831542154e-08,-1.4103594483024465e-07,-3.846908122730057e-07,-1.0233144904102567e-06,-2.654563012294285e-06,-6.714782454206647e-06,-1.6561189999227644e-05,-3.9823035091893057e-05,-9.335108455455583e-05,-0.00021330522570159712,-0.00047504096094098963,-0.0010309867766291343,-0.0021802513211777006,-0.004491830408995014,-0.009014199203037867,-0.017617000974102535,-0.03352281044558945,-0.0620928269275471,-0.11191996055303989,-0.1962417221330525,-0.3345960973778943,-0.5544899014624325,-0.8926242208264547,-1.3949403238190317,-2.1144620131269143,-3.1057123961093835,-4.4145143267618305,-6.062407166408501,-8.025866491368065,-10.212040777589054,-12.434686979515423,-14.396027009214377,-15.681755349719971,-15.776657930848867,-14.106563966845902,-10.10828744565185,-3.323071361934344,6.498158260579079,19.295967216307023,34.63205550048,51.66860106906074,69.21217842598229,85.8257088002587,99.99753682236029,110.34278236255611,115.80234157317804,115.80234157317804,110.3427823625577,99.99753682236029,85.8257088002587,69.21217842598149,51.668601069059946,34.63205550048,19.295967216307023,6.498158260579079,-3.323071361934742,-10.10828744565185,-14.1065639668463,-15.776657930848668,-15.681755349719772,-14.396027009214277,-12.434686979515515,-10.212040777589154,-8.025866491368115,-6.062407166408451,-4.414514326761931,-3.1057123961093835,-2.1144620131269143,-1.3949403238190317,-0.8926242208265541,-0.554489901462333,-0.3345960973778943,-0.19624172213315197,-0.11191996055303989,-0.062092826927447616,-0.03352281044558945,-0.01761700097420202,-0.00901419920313735,-0.004491830408995014,-0.0021802513211777006,-0.0010309867766291343,-0.0004750409608415075,-0.00021330522570159712,-9.335108455455583e-05,-3.9823035091893057e-05,-1.6561189999227644e-05,-6.714782454206647e-06,-2.654563012294285e-06,-1.0233144904102567e-06,-3.846908122730057e-07,-1.4103594483024465e-07,-5.043018831542154e-08,-1.7587946870505912e-08,-5.983254484457748e-09,-1.9853652857529144e-09,-6.427541770431217e-10,-2.0294358786069777e-10,-6.257427292371514e-11,-1.8802126522388175e-11,-5.571000451077978e-12,-1.4922322636816011e-12,-4.974107545605337e-13,-9.948215091210675e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.989643018242135e-13,-4.974107545605337e-13,-1.989643018242135e-12,-6.764786262023259e-12,-2.2781412558872447e-11,-7.530798824046481e-11,-2.4233851962189206e-10,-7.613369009303529e-10,-2.3339507425489366e-09,-6.980463565200706e-09,-2.036857247065021e-08,-5.798307217697051e-08,-1.610187255196577e-07,-4.3617899326337746e-07,-1.1524938540483437e-06,-2.970084979341763e-06,-7.464897470067661e-06,-1.82965419163801e-05,-4.3728717070417684e-05,-0.00010190036890592515,-0.00023149988376897779,-0.0005126746839812593,-0.0011066080188425701,-0.002327797849707993,-0.004771202017228007,-0.009527188672619293,-0.018529758840884123,-0.03509497595816123,-0.0647110950474886,-0.11612964612002402,-0.20276354601243987,-0.3443073275765598,-0.568340675607388,-0.911454525198533,-1.4191656189856687,-2.1436119010285903,-3.1378424421005082,-4.445568132348499,-6.085678945575366,-8.031788551521784,-10.18856944867559,-12.368551434857489,-14.275006589045727,-15.497946282669732,-15.530393635682845,-13.810318179862712,-9.789608177750589,-3.025478249764328,6.717231467922956,19.370645016350895,34.496644586068285,51.26825842519689,68.51377163006408,84.82661125157198,98.73021507762898,108.87371702232318,114.22495973248866,114.22495973248866,108.87371702232,98.73021507763058,84.82661125157198,68.51377163006329,51.26825842519689,34.496644586068285,19.370645016350895,6.717231467922956,-3.025478249763532,-9.789608177750589,-13.81031817986311,-15.530393635682646,-15.497946282669533,-14.275006589045827,-12.368551434857396,-10.18856944867569,-8.031788551521784,-6.085678945575366,-4.445568132348499,-3.137842442100558,-2.1436119010285903,-1.4191656189857682,-0.9114545251984335,-0.5683406756074875,-0.3443073275765598,-0.20276354601243987,-0.11612964612002402,-0.0647110950474886,-0.03509497595816123,-0.018529758840884123,-0.00952718867251981,-0.004771202017228007,-0.002327797849707993,-0.0011066080189420522,-0.0005126746839812593,-0.00023149988376897779,-0.00010190036890592515,-4.3728717070417684e-05,-1.82965419163801e-05,-7.464897470067661e-06,-2.970084979341763e-06,-1.1524938540483437e-06,-4.361790927455284e-07,-1.610187255196577e-07,-5.798307217697051e-08,-2.036857247065021e-08,-6.980463565200706e-09,-2.3339507425489366e-09,-7.613369009303529e-10,-2.4233851962189206e-10,-7.530798824046481e-11,-2.2880894709784554e-11,-6.764786262023259e-12,-1.989643018242135e-12,-4.974107545605337e-13,-1.989643018242135e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,-9.948215091210675e-14,-9.948215091210675e-14,-6.963750563847472e-13,-2.4870537728026688e-12,-8.25701852570486e-12,-2.7556555802653568e-11,-9.032979302819293e-11,-2.886972019469338e-10,-8.997165728490934e-10,-2.7372513823466173e-09,-8.12619949725544e-09,-2.3539665513124523e-08,-6.653465735152612e-08,-1.8348537655304424e-07,-4.936699272397858e-07,-1.295765560738187e-06,-3.3177329163475893e-06,-8.286093577059037e-06,-2.0184451303670685e-05,-4.795180102967773e-05,-0.00011108931940889112,-0.0002509421244110882,-0.0005526606559140238,-0.0011865109480602074,-0.0024828561235444146,-0.005063248350150348,-0.010060689697680857,-0.019474232861301302,-0.036713749412948846,-0.06739393616808209,-0.1204225855798614,-0.2093829323050327,-0.354117307066997,-0.5822654274177095,-0.9302918887604709,-1.4432720318864682,-2.172445586721979,-3.1693875722884366,-4.475718712122481,-6.10773197103187,-8.036266375348802,-10.163635873172153,-12.301272956508484,-14.153609906227645,-15.31502150627912,-15.286704697822247,-13.518560941570327,-9.477191715532369,-2.7353028112339377,6.928872447669069,19.43946191271008,34.3587708326471,50.870605169512764,67.82452234086779,83.84368149912297,97.48562278580496,107.43247286673025,112.67818150637028,112.67818150637028,107.43247286672866,97.48562278580656,83.84368149912456,67.82452234086699,50.87060516951197,34.35877083264631,19.43946191271008,6.928872447668273,-2.73530281123354,-9.477191715532369,-13.518560941570724,-15.286704697822247,-15.31502150627912,-14.153609906227596,-12.301272956508496,-10.163635873172177,-8.036266375348902,-6.107731971031771,-4.475718712122481,-3.1693875722884366,-2.1724455867220787,-1.4432720318863688,-0.9302918887603714,-0.5822654274177095,-0.354117307066997,-0.2093829323050327,-0.1204225855798614,-0.06739393616808209,-0.036713749412948846,-0.019474232861201823,-0.010060689697780338,-0.005063248350150348,-0.0024828561236438966,-0.0011865109480602074,-0.0005526606559140238,-0.0002509421244110882,-0.00011108931940889112,-4.795180102967773e-05,-2.0184451303670685e-05,-8.286093577059037e-06,-3.3177329163475893e-06,-1.295765560738187e-06,-4.936700267219367e-07,-1.8348537655304424e-07,-6.653465735152612e-08,-2.3539764995275434e-08,-8.12619949725544e-09,-2.7372513823466173e-09,-8.996170906981813e-10,-2.886972019469338e-10,-9.032979302819293e-11,-2.7556555802653568e-11,-8.25701852570486e-12,-2.387571621890562e-12,-6.963750563847472e-13,-9.948215091210675e-14,-9.948215091210675e-14,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-9.948215091210675e-14,-1.989643018242135e-13,-7.95857207296854e-13,-2.8849823764510956e-12,-1.0047697242122782e-11,-3.332652055555576e-11,-1.0823658019237214e-10,-3.4281549204311986e-10,-1.0608776573267064e-09,-3.203126295068013e-09,-9.439562853597074e-09,-2.7148977430366667e-08,-7.619904986618455e-08,-2.0869972459462318e-07,-5.577552345537049e-07,-1.4544133281551566e-06,-3.7001999046191055e-06,-9.183825580479583e-06,-2.223557190360488e-05,-5.2512314915259114e-05,-0.00012095408718072014,-0.0002716944183399329,-0.0005951017968938484,-0.0012708562738170408,-0.0026456618866342848,-0.0053682895601258,-0.010615094052163977,-0.02045082941237991,-0.038379421903082356,-0.07014129413354353,-0.1247980248576491,-0.21609797690923138,-0.36402250642523615,-0.5962586677898359,-0.9491289273678426,-1.4672510705371067,-2.2009552859961796,-3.2003436981528948,-4.504969629524125,-6.128581658145232,-8.039330356945854,-10.13728569926912,-12.232908036165396,-14.031893978368233,-15.133022531508121,-15.0455976447506,-13.231245418867385,-9.17092683801813,-2.452372292360117,7.133293994256393,19.50262976844021,34.218589239812616,50.475678462615576,67.14429744094686,82.87658621018716,96.26322934189574,106.01836121050181,111.16123026986632,111.16123026986473,106.0183612105034,96.26322934189415,82.87658621018716,67.14429744094765,50.475678462613985,34.21858923981421,19.50262976844021,7.133293994257189,-2.452372292360913,-9.17092683801813,-13.231245418867385,-15.0455976447508,-15.133022531507923,-14.031893978368382,-12.232908036165334,-10.137285699269144,-8.039330356945904,-6.128581658145282,-4.5049696295240755,-3.2003436981527953,-2.2009552859961796,-1.4672510705371067,-0.9491289273678426,-0.5962586677897365,-0.36402250642523615,-0.21609797690923138,-0.12479802485774859,-0.07014129413354353,-0.038379421903082356,-0.02045082941237991,-0.010615094052163977,-0.0053682895601258,-0.0026456618866342848,-0.0012708562738170408,-0.0005951017968938484,-0.0002716944183399329,-0.00012095408718072014,-5.2512314915259114e-05,-2.223557190360488e-05,-9.183825580479583e-06,-3.7001999046191055e-06,-1.4544132286730057e-06,-5.577552345537049e-07,-2.086998240767741e-07,-7.619904986618455e-08,-2.7148977430366667e-08,-9.43946337144616e-09,-3.203126295068013e-09,-1.0608776573267064e-09,-3.4281549204311986e-10,-1.0823658019237214e-10,-3.332652055555576e-11,-1.0047697242122782e-11,-2.8849823764510956e-12,-7.95857207296854e-13,-1.989643018242135e-13,-9.948215091210675e-14,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,-9.948215091210675e-14,-2.9844645273632026e-13,-1.0943036600331743e-12,-3.581357432835843e-12,-1.2136822411277023e-11,-4.009130681757902e-11,-1.2912783188391457e-10,-4.0638458647595605e-10,-1.247804618890555e-09,-3.740031463540653e-09,-1.094243970742627e-08,-3.124913428020915e-08,-8.710119930249141e-08,-2.3694877564977593e-07,-6.290732921675379e-07,-1.6298127954820649e-06,-4.120351428031184e-06,-1.0163858073046057e-05,-2.4461084216677243e-05,-5.743112938604814e-05,-0.00013153208248426273,-0.00029382095084238755,-0.0006401030690459286,-0.0013598066027726828,-0.0028164515821849623,-0.005686643428261574,-0.011190785254881704,-0.021459937210974868,-0.04009225409726459,-0.07295306819620956,-0.1292551544671252,-0.22290672097781183,-0.3740193646098903,-0.6103149328710643,-0.9679583792266339,-1.4910944970883737,-2.2291336100830343,-3.2307072284053957,-4.533324938324591,-6.148243723676131,-8.041010772314312,-10.109563820324173,-12.163511664413633,-13.909913678795924,-14.95198847382742,-14.807077038346685,-12.94832410017212,-8.870703733866614,-2.176517870854382,7.330702682193819,19.560353015169643,34.07624803109667,50.08351167640647,66.47296525827306,81.92500025634419,95.06251937902438,104.6307144316974,109.6733537605273,109.67335376052571,104.6307144316974,95.06251937902597,81.92500025634419,66.47296525827306,50.08351167640567,34.07624803109667,19.560353015168847,7.330702682194615,-2.17651787085478,-8.870703733866614,-12.94832410017232,-14.807077038346685,-14.95198847382732,-13.909913678795924,-12.163511664413745,-10.109563820324185,-8.041010772314213,-6.148243723676131,-4.533324938324541,-3.2307072284053957,-2.229133610083134,-1.4910944970883737,-0.9679583792266339,-0.6103149328710643,-0.3740193646098903,-0.2229067209779113,-0.1292551544671252,-0.07295306819620956,-0.04009225409726459,-0.021459937210974868,-0.011190785254881704,-0.005686643428261574,-0.0028164515821849623,-0.0013598066027726828,-0.0006401030690459286,-0.00029382095084238755,-0.0001315320825837449,-5.7431129485530296e-05,-2.4461084216677243e-05,-1.0163858073046057e-05,-4.120351428031184e-06,-1.6298127954820649e-06,-6.290732921675379e-07,-2.3694877564977593e-07,-8.710119930249141e-08,-3.124913428020915e-08,-1.094243970742627e-08,-3.740031463540653e-09,-1.247904101041467e-09,-4.0638458647595605e-10,-1.2922731403482667e-10,-4.009130681757902e-11,-1.2136822411277023e-11,-3.581357432835843e-12,-1.0943036600331743e-12,-2.9844645273632026e-13,-9.948215091210675e-14,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,-9.948215091210675e-14,-2.9844645273632026e-13,-1.2932679618573877e-12,-4.377214640132697e-12,-1.47233583349918e-11,-4.8149361041459665e-11,-1.5389888746102913e-10,-4.804987889054756e-10,-1.4644767435771234e-09,-4.357716138553924e-09,-1.265850681066011e-08,-3.58979351923319e-08,-9.93773962071963e-08,-2.685436104044046e-07,-7.083124170834455e-07,-1.823436298552411e-06,-4.581232834187547e-06,-1.1232274288804582e-05,-2.6872706842336618e-05,-6.272997094587542e-05,-0.0001428619775134537,-0.00031738760158532206,-0.0006877714102109763,-0.001453526297048781,-0.0029954621087336115,-0.006018625006968965,-0.011788138137865679,-0.022501926931161827,-0.04185247614556153,-0.07582911357433393,-0.13379311113730125,-0.22980715393123968,-0.3841042933102217,-0.624428788998938,-0.9867731087405147,-1.5147943279804683,-2.256973559129509,-3.260475053533343,-4.560789158373687,-6.166734156858556,-8.04133775467986,-10.080514367076667,-12.093137352803147,-13.787721796169192,-14.771956146505785,-14.571145582174841,-12.66974888189503,-8.57641402462574,-1.9075745802155504,7.521299053528305,19.612828927163985,33.93188894823969,49.69413461094837,65.81039560080782,80.98860648534698,93.8829922504523,103.26888520544453,108.21382316901497,108.21382316901497,103.26888520544453,93.88299225045071,80.98860648534698,65.81039560080782,49.69413461094837,33.93188894823969,19.612828927163985,7.521299053528305,-1.9075745802159483,-8.576414024626137,-12.669748881895229,-14.571145582174642,-14.771956146505884,-13.787721796169192,-12.093137352803272,-10.080514367076692,-8.04133775467986,-6.166734156858507,-4.560789158373737,-3.2604750535334426,-2.256973559129509,-1.5147943279803688,-0.9867731087406142,-0.624428788998938,-0.3841042933102217,-0.22980715393123968,-0.13379311113730125,-0.07582911357433393,-0.04185247614556153,-0.022501926931161827,-0.011788138137865679,-0.006018625006968965,-0.0029954621087336115,-0.001453526297048781,-0.0006877714103104585,-0.00031738760158532206,-0.0001428619775134537,-6.272997094587542e-05,-2.6872706842336618e-05,-1.1232274288804582e-05,-4.581232834187547e-06,-1.8234363980345618e-06,-7.083124170834455e-07,-2.685436104044046e-07,-9.937749568934722e-08,-3.58979351923319e-08,-1.265850681066011e-08,-4.357716138553924e-09,-1.4644767435771234e-09,-4.804987889054756e-10,-1.5389888746102913e-10,-4.8149361041459665e-11,-1.47233583349918e-11,-4.377214640132697e-12,-1.2932679618573877e-12,-3.97928603648427e-13,-9.948215091210675e-14,0.0,0.0,0.0,0.0,0.0,0.0
