node_index,value,stream_kind,domain,axis,dyadic_depth,least_prime_factor,cofactor,source_prime_index,x_number_magnitude,y_stream_kind,z_axis_depth
72,74,mixed_even_composite,E,E1,1,,37,11,0.6089153289794922,1.0,-0.047634780406951904
73,75,lpf_odd_composite,O,O2,0,3,25,1,0.6148961782455444,0.3333333432674408,0.1148226261138916
74,76,mixed_even_composite,E,E2,2,,19,7,0.620797872543335,1.0,0.04613232612609863
75,77,lpf_odd_composite,O,O4,0,7,11,3,0.6266223192214966,0.3333333432674408,0.43601667881011963
76,78,mixed_even_composite,E,E1,1,3,39,1,0.6323717832565308,1.0,-0.03420555591583252
77,79,first_order_odd,O,O1,0,,,21,0.6380478143692017,-0.3333333432674408,-1.0
78,80,mixed_even_composite,E,E4,4,,5,2,0.6436525583267212,1.0,0.25454211235046387
79,81,lpf_odd_composite,O,O2,0,3,27,1,0.6491876840591431,0.3333333432674408,0.1342250108718872
80,82,mixed_even_composite,E,E1,1,,41,12,0.654654860496521,1.0,-0.02143162488937378
81,83,first_order_odd,O,O1,0,,,22,0.6600556373596191,-0.3333333432674408,-1.0
82,84,mixed_even_composite,E,E2,2,3,21,1,0.6653919219970703,1.0,0.07108569145202637
83,85,lpf_odd_composite,O,O3,0,5,17,2,0.6706650257110596,0.3333333432674408,0.2803601026535034
84,86,mixed_even_composite,E,E1,1,,43,13,0.6758763790130615,1.0,-0.00925213098526001
85,87,lpf_odd_composite,O,O2,0,3,29,1,0.6810275316238403,0.3333333432674408,0.15228807926177979
86,88,mixed_even_composite,E,E3,3,,11,4,0.6861199140548706,1.0,0.17420423030853271
87,89,first_order_odd,O,O1,0,,,23,0.6911547183990479,-0.3333333432674408,-0.47637516260147095
88,90,mixed_even_composite,E,E1,1,3,45,1,0.6961331367492676,1.0,0.002385854721069336
89,91,lpf_odd_composite,O,O4,0,7,13,3,0.7010565996170044,0.3333333432674408,0.4763752222061157
90,92,mixed_even_composite,E,E2,2,,23,8,0.7059262990951538,1.0,0.09386634826660156
91,93,lpf_odd_composite,O,O2,0,3,31,1,0.7107431888580322,0.3333333432674408,0.16918516159057617
