variant,accuracy,cross_entropy,brier_score,mean_confidence,predictive_entropy,expected_calibration_error,mean_reconstruction_rmse,mean_local_rbm_free_energy,mean_global_rbm_free_energy,local_rbm_reconstruction_rmse,global_rbm_reconstruction_rmse,active_clusters
complete,1.0,0.09269218891859055,0.0057721384800970554,0.9143478870391846,0.2833543121814728,0.08565211296081543,0.23974103728930155,-3.7227816581726074,-10.095664978027344,0.3919784128665924,0.023838693276047707,24.0
observation_removed,1.0,0.10902468115091324,0.008266396820545197,0.901969850063324,0.3089236617088318,0.09803014993667603,0.1790320227543513,-4.014666557312012,-10.095005989074707,0.3242539167404175,0.02491327002644539,24.0
elastic_dubler_removed,1.0,0.09258290380239487,0.0057624285109341145,0.9144425988197327,0.2830890417098999,0.08555740118026733,0.239749938249588,-3.7227816581726074,-10.095664978027344,0.3919784128665924,0.023838693276047707,24.0
modality_axes_removed,0.75,0.47686585783958435,0.07035116106271744,0.7743613719940186,0.6187939643859863,0.10436150431632996,0.24186468124389648,-3.7227816581726074,-10.095664978027344,0.3919784128665924,0.023838693276047707,24.0
rbm_regulator_removed,1.0,0.13053055107593536,0.013094254769384861,0.8859686851501465,0.305859237909317,0.11403137445449829,0.24561665952205658,-3.7227816581726074,-10.095664978027344,0.3919784128665924,0.023838693276047707,24.0
cluster_context_removed,1.0,0.16156432032585144,0.012095935642719269,0.855819046497345,0.4517633020877838,0.14418093860149384,0.24685916304588318,-3.7227816581726074,-10.095664978027344,0.3919784128665924,0.023838693276047707,24.0
observation_and_dubler_removed,1.0,0.10894805938005447,0.008253348059952259,0.9020267128944397,0.3088454306125641,0.0979733020067215,0.17903237541516623,-4.014666557312012,-10.095005989074707,0.3242539167404175,0.02491327002644539,24.0
