epoch,K_D,soi_scale,objective,cross_entropy,reconstruction_rmse,brier_score,calibration_error,bounded_closure_penalty,status,obstruction
0,0.72,1.0,1.4845784307050862,1.4081573486328125,0.2144979586203893,0.18965518474578857,0.04397779703140259,0.08160920455136947,evaluated,
0,1.0,1.0,1.4850071928989501,1.408509612083435,0.2146077702442805,0.18969351053237915,0.044869810342788696,0.0816398342033835,evaluated,
0,1.4,1.0,1.4853499788048905,1.4087917804718018,0.21469452480475107,0.18972429633140564,0.04557809233665466,0.08166164409637797,evaluated,
0,0.72,0.8,1.486193116086001,1.409459114074707,0.21516017119089761,0.1897883266210556,0.04660898447036743,0.08173386639727155,evaluated,
0,0.72,1.0,1.4845784307050862,1.4081573486328125,0.2144979586203893,0.18965518474578857,0.04397779703140259,0.08160920455136947,evaluated,
0,0.72,1.25,1.4832826191714528,1.4071259498596191,0.21397912998994192,0.18954750895500183,0.04155915975570679,0.08145889655313801,evaluated,
1,0.518400020599,1.25,1.4594631796243362,1.378617763519287,0.1851316193739573,0.18696081638336182,0.2853415608406067,0.07996757905966337,evaluated,
1,0.72000002861,1.25,1.4594746910251637,1.3786031007766724,0.18526251117388406,0.18696115911006927,0.2851746678352356,0.08005565761257764,evaluated,
1,1.008000040054,1.25,1.4469884765233225,1.378594160079956,0.18536660075187683,0.18696177005767822,0.035086095333099365,0.08010922414872067,evaluated,
1,1.008000040054,1.0,1.446827938244292,1.3783949613571167,0.18563281993071237,0.18693876266479492,0.03452828526496887,0.08022406873845349,evaluated,
1,1.008000040054,1.25,1.4469884765233225,1.378594160079956,0.18536660075187683,0.18696177005767822,0.035086095333099365,0.08010922414872067,evaluated,
1,1.008000040054,1.5625,1.4595644674595571,1.3787280321121216,0.1850504775842031,0.18697576224803925,0.2855662703514099,0.07989631045051784,evaluated,
2,0.725760011673,1.0,1.4117669652260103,1.3479487895965576,0.16943631321191788,0.18302513659000397,0.031964123249053955,0.07791887525100533,evaluated,
2,1.008000016212,1.0,1.4118292481764587,1.3479793071746826,0.16957774013280869,0.18303182721138,0.03186976909637451,0.07794173963085493,evaluated,
2,1.411200022697,1.0,1.4118806529211605,1.348006010055542,0.16968846569458643,0.1830374002456665,0.03179389238357544,0.07795458991132646,evaluated,
2,0.725760011673,0.8,1.4211927323068427,1.3479979038238525,0.1696044181783994,0.1830264776945114,0.21862870454788208,0.07798204707725179,evaluated,
2,0.725760011673,1.0,1.4117669652260103,1.3479487895965576,0.16943631321191788,0.18302513659000397,0.031964123249053955,0.07791887525100533,evaluated,
2,0.725760011673,1.25,1.4116539018158236,1.3478895425796509,0.1691406120856603,0.1830175668001175,0.0324343740940094,0.07778654150227304,evaluated,
3,0.522547187805,1.25,1.3969329901429626,1.326127052307129,0.1626598834991455,0.17963647842407227,0.21659114956855774,0.06738808201060745,evaluated,
3,0.725759983063,1.25,1.3970680794810395,1.3262478113174438,0.1627720668911934,0.1796514391899109,0.216254323720932,0.06746956678798408,evaluated,
3,1.016063976288,1.25,1.3971824767709464,1.3263511657714844,0.16286194821198782,0.1796642243862152,0.2159806489944458,0.0675184529060702,evaluated,
3,0.522547187805,1.0,1.397402267449195,1.3265719413757324,0.1629023626446724,0.17968420684337616,0.21570360660552979,0.06755671988401887,evaluated,
3,0.522547187805,1.25,1.3969329901429626,1.326127052307129,0.1626598834991455,0.17963647842407227,0.21659114956855774,0.06738808201060745,evaluated,
3,0.522547187805,1.5625,1.3965421454610363,1.3257701396942139,0.1624160185456276,0.17959603667259216,0.21732097864151,0.06711742655404404,evaluated,
4,0.376233973503,1.5625,1.3686619143842138,1.298865795135498,0.16228364408016205,0.1755535751581192,0.20745128393173218,0.06486432581383697,evaluated,
4,0.522547185421,1.5625,1.368769539173878,1.298967957496643,0.16235441466172537,0.1755642145872116,0.20710748434066772,0.06505911680244905,evaluated,
4,0.731566059589,1.5625,1.3688701984941218,1.2990646362304688,0.16241360207398733,0.17557451128959656,0.20681771636009216,0.06519123990961409,evaluated,
4,0.376233973503,1.25,1.3690658183054703,1.2992572784423828,0.16242002447446188,0.1755957305431366,0.20680385828018188,0.06518838880746984,evaluated,
4,0.376233973503,1.5625,1.3686619143842138,1.298865795135498,0.16228364408016205,0.1755535751581192,0.20745128393173218,0.06486432581383697,evaluated,
4,0.376233973503,1.953125,1.368340387251339,1.2985581159591675,0.16216545552015305,0.1755194365978241,0.20798277854919434,0.06449124124455606,evaluated,
5,0.270888454914,1.953125,1.3347358390683093,1.252816915512085,0.1624369646112124,0.16939802467823029,0.4606330990791321,0.06691124908206789,evaluated,
5,0.376233965158,1.953125,1.334676512515657,1.2527344226837158,0.16249140600363413,0.16938133537769318,0.46075066924095154,0.06717856656077673,evaluated,
5,0.526727551222,1.953125,1.3471433333349219,1.2526859045028687,0.16254144658644995,0.16936993598937988,0.710743248462677,0.06739555816844801,evaluated,
5,0.376233965158,1.5625,1.3473515589377765,1.252880334854126,0.16257119178771973,0.16938947141170502,0.7107748985290527,0.06753670345487492,evaluated,
5,0.376233965158,1.953125,1.334676512515657,1.2527344226837158,0.16249140600363413,0.16938133537769318,0.46075066924095154,0.06717856656077673,evaluated,
5,0.376233965158,2.44140625,1.3345300567267897,1.2526233196258545,0.16242593030134836,0.16937485337257385,0.460519403219223,0.06683995136896421,evaluated,
6,0.270888454914,2.44140625,1.263708344019115,1.1964607238769531,0.16265607873598734,0.1628037989139557,0.18092221021652222,0.06285550279716003,evaluated,
6,0.376233965158,2.44140625,1.2634584243698528,1.1961928606033325,0.16270540903011957,0.16275769472122192,0.18104559183120728,0.06305812226538444,evaluated,
6,0.526727551222,2.44140625,1.2632716012819216,1.1959880590438843,0.16275262087583542,0.16272151470184326,0.18116885423660278,0.0632396418532103,evaluated,
6,0.526727551222,1.953125,1.2632115102362163,1.1958880424499512,0.16282732536395392,0.16268949210643768,0.1815280020236969,0.06356435667239316,evaluated,
6,0.526727551222,2.44140625,1.2632716012819216,1.1959880590438843,0.16275262087583542,0.16272151470184326,0.18116885423660278,0.0632396418532103,evaluated,
6,0.526727551222,3.0517578125,1.263321756633201,1.1960713863372803,0.16269206007321677,0.16274721920490265,0.18086954951286316,0.06295779407415823,evaluated,
7,0.379243841171,1.953125,1.195980083202251,1.1306099891662598,0.163784421980381,0.1542222797870636,0.15341240167617798,0.06655702391903026,evaluated,
7,0.526727557182,1.953125,1.195723531503053,1.1303279399871826,0.1638686036070188,0.1541677713394165,0.15353646874427795,0.06674200214800326,evaluated,
7,0.737418580055,1.953125,1.195530833562274,1.1301116943359375,0.16394488016764322,0.15412496030330658,0.15365317463874817,0.06688822110788792,evaluated,
7,0.737418580055,1.5625,1.1953782905107875,1.1299033164978027,0.1640874445438385,0.15405955910682678,0.15406835079193115,0.06718697133729694,evaluated,
7,0.737418580055,1.953125,1.195530833562274,1.1301116943359375,0.16394488016764322,0.15412496030330658,0.15365317463874817,0.06688822110788792,evaluated,
7,0.737418580055,2.44140625,1.1956560347983367,1.130284309387207,0.16382918506860733,0.15417759120464325,0.1533001959323883,0.06658301134471216,evaluated,
8,0.530941386223,1.5625,1.1126781460550415,1.0490673780441284,0.16699044158061346,0.1425335705280304,0.12466956675052643,0.06881611127152452,evaluated,
8,0.737418591976,1.5625,1.1124899320691333,1.0488481521606445,0.16709864139556885,0.14248135685920715,0.12480343878269196,0.06894059672706061,evaluated,
8,1.032386028767,1.5625,1.1123532950440704,1.0486844778060913,0.1671921486655871,0.14244093000888824,0.12492234259843826,0.06902849703857003,evaluated,
8,1.032386028767,1.25,1.1122647929570586,1.0485210418701172,0.16741022219260535,0.14235514402389526,0.12542222440242767,0.06922849581395336,evaluated,
8,1.032386028767,1.5625,1.1123532950440704,1.0486844778060913,0.1671921486655871,0.14244093000888824,0.12492234259843826,0.06902849703857003,evaluated,
8,1.032386028767,1.953125,1.112433334598553,1.0488287210464478,0.16701407730579376,0.14251142740249634,0.12449118494987488,0.0687696118956791,evaluated,
9,0.743317966461,1.25,1.0377855901813302,0.9635574221611023,0.17069672296444574,0.1300172507762909,0.3427661061286926,0.07069784475263238,evaluated,
9,1.032386064529,1.25,1.0377064497496393,0.9634585380554199,0.17078763246536255,0.12998010218143463,0.34275883436203003,0.07075258208169073,evaluated,
9,1.445340490341,1.25,1.037655653458792,0.9633907675743103,0.17086374014616013,0.12995202839374542,0.3427596390247345,0.07078830286652402,evaluated,
9,1.445340490341,1.0,1.0378089671235118,0.9634929895401001,0.17106356720129648,0.12988068163394928,0.3428880572319031,0.07088073790486885,evaluated,
9,1.445340490341,1.25,1.037655653458792,0.9633907675743103,0.17086374014616013,0.12995202839374542,0.3427596390247345,0.07078830286652402,evaluated,
9,1.445340490341,1.5625,1.037556250047997,0.9633361101150513,0.1706955929597219,0.13001467287540436,0.34264206886291504,0.07063354811644564,evaluated,
10,1.040645170212,1.5625,0.9507558488103103,0.8783540725708008,0.17631691694259644,0.11916755884885788,0.29990947246551514,0.07051587478493944,evaluated,
10,1.445340514183,1.5625,0.9506939991130618,0.8782868385314941,0.1763471265633901,0.11914438009262085,0.2998937964439392,0.0705625554630578,evaluated,
10,2.023476719856,1.5625,0.950651882055103,0.8782400488853455,0.1763718699415525,0.11912701278924942,0.2998853325843811,0.07059488881126777,evaluated,
10,2.023476719856,1.25,0.9508097998104487,0.8783738613128662,0.1764493261774381,0.11907795071601868,0.3000282645225525,0.07071993277467312,evaluated,
10,2.023476719856,1.5625,0.950651882055103,0.8782400488853455,0.1763718699415525,0.11912701278924942,0.2998853325843811,0.07059488881126777,evaluated,
10,2.023476719856,1.953125,0.9505450945327779,0.8781542778015137,0.17630763600269952,0.11917050927877426,0.2997724413871765,0.07041173666766025,evaluated,
11,1.456903152466,1.953125,0.8791808381283093,0.8068373203277588,0.1869551787773768,0.11150963604450226,0.26017504930496216,0.07225035182540038,evaluated,
11,2.023476600647,1.953125,0.8791164651183394,0.8067719340324402,0.186966339747111,0.11149213463068008,0.26015907526016235,0.07228894615226958,evaluated,
11,2.832867240906,1.953125,0.8790693955185108,0.806723952293396,0.1869751662015915,0.11147895455360413,0.26014840602874756,0.07231679589595506,evaluated,
11,2.832867240906,1.5625,0.8790656168021364,0.806702733039856,0.18703457216421762,0.1114223301410675,0.26024797558784485,0.07248044638635406,evaluated,
11,2.832867240906,1.953125,0.8790693955185108,0.806723952293396,0.1869751662015915,0.11147895455360413,0.26014840602874756,0.07231679589595506,evaluated,
11,2.832867240906,2.44140625,0.8790877195698397,0.8067569136619568,0.18692821760972342,0.11152713745832443,0.26007527112960815,0.0721137101569563,evaluated,
12,2.039664344788,1.5625,0.8168697797367028,0.743367612361908,0.20052837332089743,0.10371728241443634,0.22951625287532806,0.07612665796802329,evaluated,
12,2.832867145538,1.5625,0.8168248717399587,0.7433192133903503,0.20054480930169424,0.1037013828754425,0.2295270562171936,0.07614824628903845,evaluated,
