epoch,train_total_loss,train_task_loss,train_reconstruction_loss,train_energy_loss,train_closure_penalty,train_accuracy,validation_loss,validation_accuracy,gradient_norm,weight_color,weight_sound,weight_vision
23,0.4401848614215851,0.37610381841659546,0.009839262813329697,1.995487093925476,0.08783052861690521,1.0,0.36653828620910645,1.0,0.22024817764759064,0.3301709294319153,0.33469101786613464,0.3351380228996277
24,0.4280182719230652,0.3655347228050232,0.008790619671344757,1.9510847330093384,0.08766768872737885,1.0,0.3579445481300354,1.0,0.1562114655971527,0.33014726638793945,0.33468782901763916,0.3351649343967438
25,0.41699105501174927,0.3568723499774933,0.00827988050878048,1.876612663269043,0.08751728385686874,1.0,0.3505061864852905,1.0,0.15381202101707458,0.3301309049129486,0.33467769622802734,0.33519136905670166
26,0.406147837638855,0.3493579924106598,0.00837684515863657,1.76520574092865,0.08697335422039032,1.0,0.34249433875083923,1.0,0.17253954708576202,0.330119788646698,0.3346647024154663,0.3352155089378357
27,0.3941628932952881,0.34114888310432434,0.008897950872778893,1.6355736255645752,0.08611719310283661,1.0,0.3327089846134186,1.0,0.17041155695915222,0.3301149606704712,0.3346462845802307,0.3352387547492981
28,0.38116374611854553,0.33112746477127075,0.009608284570276737,1.5306884050369263,0.08567804098129272,1.0,0.3203173279762268,1.0,0.17252957820892334,0.33011680841445923,0.3346213698387146,0.3352617621421814
29,0.3665396571159363,0.3186516761779785,0.010387319140136242,1.4525974988937378,0.08566150069236755,1.0,0.304931640625,1.0,0.2124134749174118,0.3301325738430023,0.33457645773887634,0.33529096841812134
30,0.348874568939209,0.3031013607978821,0.011308923363685608,1.3745723962783813,0.08543969690799713,1.0,0.2897941470146179,1.0,0.258795827627182,0.33016082644462585,0.334516704082489,0.33532246947288513
31,0.32926586270332336,0.285716712474823,0.01255770493298769,1.2904642820358276,0.08478954434394836,1.0,0.27384841442108154,1.0,0.23948904871940613,0.33019256591796875,0.3344612121582031,0.3353462517261505
32,0.31096726655960083,0.26956894993782043,0.013343502767384052,1.2124571800231934,0.08443771302700043,1.0,0.25521400570869446,1.0,0.2352171242237091,0.33023592829704285,0.3343927264213562,0.33537131547927856
33,0.29167380928993225,0.2523598372936249,0.013007600791752338,1.146051049232483,0.0840255543589592,1.0,0.23252727091312408,1.0,0.30462145805358887,0.33028388023376465,0.3343222737312317,0.3353938162326813
34,0.2666139602661133,0.2286435216665268,0.011975623667240143,1.1102550029754639,0.08344365656375885,1.0,0.20170331001281738,1.0,0.3383481204509735,0.3303326368331909,0.33426129817962646,0.3354060649871826
35,0.23630182445049286,0.19816480576992035,0.0111166313290596,1.122451901435852,0.08421571552753448,1.0,0.17220312356948853,1.0,0.3471430540084839,0.3303906321525574,0.3341890871524811,0.33542025089263916
36,0.20795555412769318,0.16768939793109894,0.011983104981482029,1.1855478286743164,0.08519735932350159,1.0,0.1478901505470276,1.0,0.4098864197731018,0.33044320344924927,0.3341308832168579,0.3354259133338928
37,0.18744170665740967,0.14534950256347656,0.012984556145966053,1.2367135286331177,0.08723268657922745,1.0,0.1319565623998642,1.0,0.5374858379364014,0.33051007986068726,0.33404630422592163,0.3354436159133911
38,0.17073732614517212,0.12680120766162872,0.01307795662432909,1.2972233295440674,0.08749659359455109,1.0,0.1093003898859024,1.0,0.7875927090644836,0.33055558800697327,0.3340023458003998,0.33544209599494934
39,0.15129876136779785,0.10681088268756866,0.011234643869102001,1.3298585414886475,0.08917306363582611,1.0,0.09190500527620316,1.0,0.532794177532196,0.3306214213371277,0.33391016721725464,0.3354684114456177
