source,ring_diameter,ring_diameter_uncertainty,shadow_radius,shadow_radius_uncertainty,source_status
M87*_fixture,42.0,3.0,21.0,1.5,fixture_only
SgrA*_fixture,51.8,2.3,25.9,1.2,fixture_only
