dimensionless_frequency,hawking_spectrum_normalized,tne_spectrum_proxy_normalized
0.1,0.006689914938872929,9.241660323504559e-17
0.19296875000000002,0.023752754526660886,1.1409756168599543
0.2859375,0.049692341225691515,0.42199421678454313
0.37890625,0.08308190928894092,0.2945089453578497
0.47187500000000004,0.12259761422201021,0.24312195281924526
0.56484375,0.1670169515235377,0.19510214956266708
0.6578125,0.21521676456379413,0.1640731983604764
0.75078125,0.26617086385695315,0.1410601837142628
0.84375,0.31894728396259836,0.12367265735695894
0.93671875,0.37270520774903904,0.11009704961911021
1.0296875,0.42669159071153867,0.09920633068605673
1.1226562500000001,0.4802375204232612,0.09028160850183084
1.2156250000000002,0.5327543479809833,0.08283715251875914
1.3085937500000002,0.5837296294815312,0.07653479444782509
1.4015625,0.632722916132959,0.07113180617805417
1.49453125,0.6793614315847266,0.06644953516228598
1.5875000000000001,0.7233356744838217,0.06235362009102727
1.6804687500000002,0.7643949831699726,0.05874109207624495
1.7734375000000002,0.8023430978627617,0.05553172780950674
1.86640625,0.8370337537236093,0.05266210675718145
1.959375,0.868366335858226,0.050081436401250325
2.05234375,0.8962816247252793,0.04774856170838287
2.1453125,0.9207576576007319,0.04562978509659252
2.23828125,0.9418057287800137,0.043697251983844436
2.3312500000000003,0.9594665481449403,0.04192773799106696
2.42421875,0.9738065746385252,0.04030172596038764
2.5171875000000004,0.984914538133126,0.03880269514699951
2.61015625,0.9928981601946868,0.0374165678200789
2.703125,0.9978810813808385,0.03613127407720631
2.7960937500000003,0.9999999999992963,0.034936406440754214
2.8890625,0.9994020247246214,0.03382294335563755
2.9820312500000004,0.9962422411485186,0.032783026076472245
3.075,0.9906814902375093,0.031809777297107454
3.16796875,0.982884354802075,0.03089715269031359
3.2609375000000003,0.9730173484477073,0.030039818597684075
3.35390625,0.9612473000801813,0.02923305065090202
3.4468750000000004,0.9477399258700275,0.028472649262466242
3.53984375,0.9326585796360596,0.027754868800249424
3.6328125,0.9161631718735017,0.027076357929527946
3.7257812500000003,0.898409247114844,0.026434109121291054
3.81875,0.8795472089555245,0.025825415725154326
3.9117187500000004,0.8597216818850825,0.025247835317191443
4.0046875,0.8390709990201943,0.02469915827825998
4.09765625,0.8177268049213113,0.02417738075242023
4.190625,0.7958137628720655,0.023680681289443443
4.28359375,0.7734493562932002,0.02320740059897615
4.3765624999999995,0.750743774334337,0.022756023943356567
4.46953125,0.7277998721221686,0.022325165776492673
