physical_mass_kg,proxy_mass,hawking_power_normalized,tne_power_proxy_normalized
100000000000.0,1.4,0.9999999999989999,0.1578898223464335
149249554505.18323,1.496644664630345,0.6757518355379445,0.15704277586533436
222754295199.95563,1.599960894404627,0.45664054323336156,0.15619264675670902
332459793227.0945,1.7104092401627715,0.3085756852712968,0.15546705827494584
496194760300.2898,1.828482045445753,0.20852058572466642,0.15500356471739327
740568469226.2443,1.9547056412062618,0.14090816855103272,0.15493394569928695
1105295141126.0198,2.089642692024421,0.09521895354074564,0.15535975017772957
1649648074098.0208,2.2338947042872435,0.06434438263322546,0.1563187592328739
2462092401494.6206,2.3881047075124897,0.043480834671001785,0.1577453487238675
3674661940736.688,2.552960120769413,0.02938225383968074,0.159433115424572
5484416576121.026,2.7291958169739883,0.01985511196442594,0.1610143755501321
8185467307069.0205,2.9175973987182675,0.013417128354785642,0.16197481637832026
12216773489967.932,3.1190047002364776,0.009066649113403743,0.16171753280812642
18233480008684.387,3.3343155311184955,0.0061268047805671825,0.1596752159341581
27213387683753.086,3.5644896784589934,0.004140199576455067,0.15544528501368893
40615859883769.88,3.8105531852825623,0.0027977474632857524,0.1489024744390953
60618989934975.72,4.073602924316653,0.001890582983688866,0.14024276863356194
90473572423492.75,4.354811487500777,0.0012775649214658326,0.12993812123769433
135031403786987.22,4.655432413027839,0.000863316840700297,0.11862070652148449
201533768594173.53,4.976805773218064,0.0005833879397546283,0.10694413845667063
300788251804309.56,5.32036414813451,0.000394225471120284,0.09547042448640784
448925125821860.75,5.687639011568631,0.0002663985857256114,0.08460929524114238
670018750350957.6,6.080267557862574,0.00018001933328897445,0.07460910573991147
1000000000000000.0,6.5,0.00012164839490246312,0.06558139516280685
