arm_mode,initial_mean_radius,final_mean_radius,radial_concentration,spiral_order_parameter,mode_1_amplitude,mode_2_amplitude,mode_3_amplitude,mode_4_amplitude,dominant_mode,dominant_mode_amplitude,target_mode_amplitude,target_mode_ratio,pitch_angle_proxy,density_arm_contrast,angular_momentum_initial,angular_momentum_final,angular_momentum_drift,total_mass,energy_proxy,elastic_tension_mean,elastic_tension_max,arm_asymmetry_index,peak_rotation_velocity,nan_count,central_mass_count,star_system_count,gas_cloud_count,cluster_count
2,0.7623179180207009,0.5350908755352667,0.22722704248543424,0.6181652137358088,0.6181652137358088,0.5665495901627262,0.6143247516137187,0.5969983395407306,1.0,0.6181652137358088,0.5665495901627262,0.2364526835457089,0.26424192516561845,4.232136023310524,1283.6729357348195,941.448579730077,-0.26659778085049446,316.22031340237476,2510.806300202067,0.15020354260514068,1.0,0.6546489733733776,7.764011136232772,0,1.0,56.0,36.0,12.0
3,0.7623179183325779,0.5119580866090301,0.2503598317235478,0.6527514988181188,0.6415067450774482,0.5772813716788711,0.5707574210318316,0.6527514988181188,4.0,0.6527514988181188,0.5707574210318316,0.23369697153000782,1.3453062906543272,4.3367381435357695,1284.107377299632,941.4951941904104,-0.26680960577432816,316.22031340237476,2492.884794541679,0.17124107242448972,1.0,0.6712362833575393,6.744158577221192,0,1.0,56.0,36.0,12.0
4,0.7623179180207009,0.5361638006698933,0.2261541173508076,0.7080751637924906,0.6100094808748341,0.7080751637924906,0.6147109251175106,0.5935790790096047,2.0,0.7080751637924906,0.5935790790096047,0.2349529113952357,2.385343183464315,4.341397411012407,1283.9266449482827,940.8071198165696,-0.267242312075807,316.22031340237476,2391.032599028764,0.15187428127531533,1.0,0.6103495858165109,7.03792556105133,0,1.0,56.0,36.0,12.0
mixed,0.7732086832193079,0.5693735718928775,0.2038351113264304,0.6634759124394953,0.6296504941563427,0.5171685387762271,0.6634759124394953,0.6615956843268556,3.0,0.6634759124394953,0.6634759124394953,0.2684082800702388,0.6931437120577763,2.9074330440028655,1304.2031121240852,955.2334430462238,-0.2675730994917756,317.5366208142031,2321.072893169583,0.1688697397399892,1.0,0.6343320142056408,6.91213468379597,0,1.0,56.0,36.0,12.0
