theorem_complex_id,residual,closure_status
reciprocal_relation_action_groupoid,0.0,satisfied
minimal_two_state_involution_orbitwise_alternator,0.0,satisfied
involutive_duality_c_2_action,0.0,satisfied
reciprocal_orbit_double_cover,0.0,satisfied
two_state_free_cofree_duality,0.0,satisfied
invariant_anti_invariant_orbit_fields,0.0,closed
