split,train_accuracy,validation_accuracy,accuracy,test_loss,mean_confidence,generalization_gap
train,1.0,,,,,
validation,,0.8333333134651184,,,,
test,1.0,0.8333333134651184,0.9166666865348816,1.5716720819473267,0.2110946923494339,0.08333331346511841
