seed,epochs,variant,accuracy,cross_entropy,brier_score,mean_confidence,predictive_entropy,expected_calibration_error,mean_reconstruction_rmse,mean_local_rbm_free_energy,mean_global_rbm_free_energy,local_rbm_reconstruction_rmse,global_rbm_reconstruction_rmse,active_clusters
0,6,complete,0.5,1.1852751970291138,0.16170291602611542,0.32005050778388977,1.3597930669784546,0.17994949221611023,0.16157718747854233,-4.066715717315674,-11.800384521484375,0.14470835030078888,0.19378572702407837,14.0
0,6,observation_removed,0.375,1.2917652130126953,0.17632383108139038,0.2876676023006439,1.3724348545074463,0.08733239769935608,0.10856681068738301,-4.110106945037842,-11.799680709838867,0.11707988381385803,0.1939304918050766,14.0
0,6,elastic_dubler_removed,0.5,1.1852025985717773,0.16169217228889465,0.3200724720954895,1.3597785234451294,0.1799275279045105,0.1615759531656901,-4.066715717315674,-11.800384521484375,0.14470835030078888,0.19378572702407837,14.0
0,6,modality_axes_removed,0.5,1.2727066278457642,0.17221187055110931,0.28946009278297424,1.3784799575805664,0.21053990721702576,0.16271691024303436,-4.066715717315674,-11.800384521484375,0.14470835030078888,0.19378572702407837,14.0
0,6,rbm_regulator_removed,0.5,1.181627631187439,0.16221517324447632,0.31905579566955566,1.3535709381103516,0.18094420433044434,0.1637863591313362,-4.066715717315674,-11.800384521484375,0.14470835030078888,0.19378572702407837,14.0
0,6,cluster_context_removed,0.5,1.2292799949645996,0.16768907010555267,0.30163347721099854,1.3702877759933472,0.19836652278900146,0.16165039191643396,-4.066715717315674,-11.800384521484375,0.14470835030078888,0.19378572702407837,14.0
0,6,signed_spectrum_removed,0.5,1.1852617263793945,0.16169774532318115,0.32003316283226013,1.3598064184188843,0.17996683716773987,0.1615681250890096,-4.066715717315674,-11.800384521484375,0.14470835030078888,0.19378572702407837,14.0
0,6,observation_and_dubler_removed,0.375,1.2917507886886597,0.17632190883159637,0.2876695990562439,1.3724346160888672,0.0873304009437561,0.1085674191514651,-4.110106945037842,-11.799680709838867,0.11707988381385803,0.1939304918050766,14.0
1,6,complete,0.5,1.2073689699172974,0.16317826509475708,0.32457053661346436,1.3604081869125366,0.17542944848537445,0.1644575297832489,-4.109646320343018,-11.834968566894531,0.16368472576141357,0.19227372109889984,12.0
1,6,observation_removed,0.5,1.2792414426803589,0.17351596057415009,0.3028547167778015,1.3754680156707764,0.1971452832221985,0.11215987304846446,-4.1587815284729,-11.835195541381836,0.13643892109394073,0.19222378730773926,12.0
1,6,elastic_dubler_removed,0.5,1.2070157527923584,0.16312889754772186,0.32465773820877075,1.3603203296661377,0.17534226179122925,0.16446452339490256,-4.109646320343018,-11.834968566894531,0.16368472576141357,0.19227372109889984,12.0
1,6,modality_axes_removed,0.5,1.3042140007019043,0.17616304755210876,0.2886013090610504,1.3787709474563599,0.21139869093894958,0.16129677991072336,-4.109646320343018,-11.834968566894531,0.16368472576141357,0.19227372109889984,12.0
1,6,rbm_regulator_removed,0.25,1.2486896514892578,0.1724996566772461,0.32236090302467346,1.3402483463287354,0.07236090302467346,0.1670511489113172,-4.109646320343018,-11.834968566894531,0.16368472576141357,0.19227372109889984,12.0
1,6,cluster_context_removed,0.5,1.206807255744934,0.163497194647789,0.32316482067108154,1.360445261001587,0.17683517932891846,0.17003719260295233,-4.109646320343018,-11.834968566894531,0.16368472576141357,0.19227372109889984,12.0
1,6,signed_spectrum_removed,0.5,1.207376480102539,0.1631803810596466,0.32458844780921936,1.3604050874710083,0.17541153728961945,0.16445812086264291,-4.109646320343018,-11.834968566894531,0.16368472576141357,0.19227372109889984,12.0
1,6,observation_and_dubler_removed,0.5,1.2791472673416138,0.17350342869758606,0.3028755784034729,1.375455617904663,0.1971244215965271,0.1121622696518898,-4.1587815284729,-11.835195541381836,0.13643892109394073,0.19222378730773926,12.0
2,6,complete,0.5,1.0785341262817383,0.14597967267036438,0.3789222836494446,1.316330909729004,0.12490640580654144,0.14767798533042273,-3.987830877304077,-11.857830047607422,0.20899717509746552,0.18986806273460388,12.0
2,6,observation_removed,0.5,1.1551264524459839,0.15713787078857422,0.34710538387298584,1.3489679098129272,0.15289464592933655,0.1021643156806628,-4.094038963317871,-11.85305404663086,0.161198228597641,0.1908605396747589,12.0
2,6,elastic_dubler_removed,0.5,1.0781179666519165,0.1459255963563919,0.37909001111984253,1.3161171674728394,0.12487667053937912,0.14766868452231088,-3.987830877304077,-11.857830047607422,0.20899717509746552,0.18986806273460388,12.0
2,6,modality_axes_removed,0.5,1.2469929456710815,0.17090150713920593,0.30951380729675293,1.3637917041778564,0.19048619270324707,0.16949725151062012,-3.987830877304077,-11.857830047607422,0.20899717509746552,0.18986806273460388,12.0
2,6,rbm_regulator_removed,0.5,1.1234766244888306,0.1484692394733429,0.37949204444885254,1.3032664060592651,0.12050798535346985,0.15263802061478296,-3.987830877304077,-11.857830047607422,0.20899717509746552,0.18986806273460388,12.0
2,6,cluster_context_removed,0.5,1.1325712203979492,0.15618346631526947,0.36258041858673096,1.330702304840088,0.13741958141326904,0.1556543136636416,-3.987830877304077,-11.857830047607422,0.20899717509746552,0.18986806273460388,12.0
2,6,signed_spectrum_removed,0.5,1.0785341262817383,0.1459822654724121,0.378950297832489,1.3163166046142578,0.12496043741703033,0.1476869434118271,-3.987830877304077,-11.857830047607422,0.20899717509746552,0.18986806273460388,12.0
2,6,observation_and_dubler_removed,0.5,1.1550633907318115,0.15713077783584595,0.3471347987651825,1.3489420413970947,0.1528652161359787,0.10216107219457626,-4.094038963317871,-11.85305404663086,0.161198228597641,0.1908605396747589,12.0
