seed,scenario,epochs,accuracy,cross_entropy,brier_score,mean_confidence,predictive_entropy,expected_calibration_error,mean_reconstruction_rmse,mean_local_rbm_free_energy,mean_global_rbm_free_energy,local_rbm_reconstruction_rmse,global_rbm_reconstruction_rmse,active_clusters,closure_status,residual_l2,final_validation_loss,final_validation_accuracy
0,clean,6,0.5,1.1852751970291138,0.16170291602611542,0.32005050778388977,1.3597930669784546,0.17994949221611023,0.16157718747854233,-4.066715717315674,-11.800384521484375,0.14470835030078888,0.19378572702407837,14.0,open,4.0355859335814595,1.1863652467727661,0.5
0,gaussian_0.05,6,0.5,1.191449522972107,0.16262130439281464,0.31741949915885925,1.3612374067306519,0.18258050084114075,0.16035965581734976,-4.070451736450195,-11.80037784576416,0.14254230260849,0.19378705322742462,14.0,open,4.0297628054571435,1.1863652467727661,0.5
0,gaussian_0.15,6,0.5,1.2034825086593628,0.1643029898405075,0.3122086524963379,1.3640215396881104,0.1877913475036621,0.15888826300700506,-4.082690715789795,-11.800267219543457,0.13520105183124542,0.19380861520767212,14.0,open,4.013877930023129,1.1863652467727661,0.5
0,remove_color,6,0.25,1.3383880853652954,0.18232376873493195,0.28871750831604004,1.3737297058105469,0.03871750831604004,0.10254817704359691,-4.110058307647705,-11.800567626953125,0.11713341623544693,0.1937522292137146,14.0,open,4.352982170231939,1.1863652467727661,0.5
0,remove_sound,6,0.5,1.205743432044983,0.16514620184898376,0.3164219558238983,1.3599205017089844,0.18357804417610168,0.16802734633286795,-4.020401477813721,-11.801541328430176,0.16929090023040771,0.19355729222297668,14.0,open,4.346315762413836,1.1863652467727661,0.5
0,remove_vision,6,0.25,1.287606120109558,0.1758657842874527,0.2934851050376892,1.3688151836395264,0.04348510503768921,0.1510097955663999,-4.079625606536865,-11.800531387329102,0.1370767503976822,0.1937592327594757,14.0,open,4.19824531110346,1.1863652467727661,0.5
0,sound_phase_shift,6,0.5,1.1833972930908203,0.16138386726379395,0.32020241022109985,1.359614610671997,0.17979758977890015,0.16350270559390387,-4.0657196044921875,-11.800272941589355,0.14527863264083862,0.19380822777748108,14.0,open,4.016653966980031,1.1863652467727661,0.5
0,vision_occlusion,6,0.5,1.2384568452835083,0.16949841380119324,0.3024235963821411,1.3667585849761963,0.1975764036178589,0.1448298841714859,-4.075447082519531,-11.800411224365234,0.1395919770002365,0.19378229975700378,14.0,open,4.107380071669739,1.1863652467727661,0.5
0,color_channel_permutation,6,0.25,1.4204363822937012,0.191608726978302,0.2833964228630066,1.375367522239685,0.03339642286300659,0.1591317132115364,-4.124943256378174,-11.801034927368164,0.10604852437973022,0.19365014135837555,14.0,open,4.141087775816287,1.1863652467727661,0.5
1,clean,6,0.5,1.2073689699172974,0.16317826509475708,0.32457053661346436,1.3604081869125366,0.17542944848537445,0.1644575297832489,-4.109646320343018,-11.834968566894531,0.16368472576141357,0.19227372109889984,12.0,open,1.6356029170090407,1.204421877861023,0.5
1,gaussian_0.05,6,0.5,1.207255244255066,0.16306191682815552,0.32528695464134216,1.360224723815918,0.17471304535865784,0.16257031013568243,-4.108302116394043,-11.834710121154785,0.16435912251472473,0.1923273503780365,12.0,open,1.6400238699742393,1.204421877861023,0.5
1,gaussian_0.15,6,0.5,1.2091221809387207,0.163131982088089,0.32644861936569214,1.3600050210952759,0.17355139553546906,0.16013259689013162,-4.105936050415039,-11.834120750427246,0.16553595662117004,0.19244925677776337,12.0,open,1.6510098435439482,1.204421877861023,0.5
