scenario,metric,count,mean,population_std,minimum,maximum
clean,accuracy,3,0.5,0.0,0.5,0.5
clean,cross_entropy,3,1.1570594310760498,0.05625360029893377,1.0785341262817383,1.2073689699172974
clean,brier_score,3,0.1569536179304123,0.007783091487169757,0.14597967267036438,0.16317826509475708
clean,expected_calibration_error,3,0.16009511550267538,0.024950506559868125,0.12490640580654144,0.17994949221611023
clean,mean_reconstruction_rmse,3,0.15790423419740465,0.007326036553060024,0.14767798533042273,0.1644575297832489
clean,residual_l2,3,2.406207119962088,1.152706957239591,1.547432509295764,4.0355859335814595
gaussian_0.05,accuracy,3,0.5,0.0,0.5,0.5
gaussian_0.05,cross_entropy,3,1.1601824760437012,0.05576916820501395,1.0818426609039307,1.207255244255066
gaussian_0.05,brier_score,3,0.15745573739210764,0.007618898686942887,0.14668399095535278,0.16306191682815552
gaussian_0.05,expected_calibration_error,3,0.16207404931386313,0.023656425976986466,0.12892860174179077,0.18258050084114075
gaussian_0.05,mean_reconstruction_rmse,3,0.15639198157522413,0.0072308495481200165,0.14624597877264023,0.16257031013568243
gaussian_0.05,residual_l2,3,2.404857218834458,1.1496394320446868,1.5447849810719902,4.0297628054571435
gaussian_0.15,accuracy,3,0.5,0.0,0.5,0.5
gaussian_0.15,cross_entropy,3,1.1701398690541585,0.0511932640871983,1.097814917564392,1.2091221809387207
gaussian_0.15,brier_score,3,0.15899705390135446,0.006692794701351546,0.14955618977546692,0.1643029898405075
gaussian_0.15,expected_calibration_error,3,0.16721759736537933,0.019894826379231713,0.14031004905700684,0.1877913475036621
gaussian_0.15,mean_reconstruction_rmse,3,0.15428676373428768,0.007404825357284523,0.14383943130572638,0.16013259689013162
gaussian_0.15,residual_l2,3,2.4043130464785825,1.1389101362812106,1.5480513658686708,4.013877930023129
remove_color,accuracy,3,0.4166666666666667,0.11785113019775792,0.25,0.5
remove_color,cross_entropy,3,1.3029730717341106,0.04332617162520692,1.241963505744934,1.3383880853652954
remove_color,brier_score,3,0.1768445372581482,0.006163925227450225,0.16823342442512512,0.18232376873493195
remove_color,expected_calibration_error,3,0.1418827772140503,0.0738601457898106,0.03871750831604004,0.20763146877288818
remove_color,mean_reconstruction_rmse,3,0.09704723291926914,0.006507849431811164,0.08790670086940129,0.10254817704359691
remove_color,residual_l2,3,2.6302909359383353,1.218719138786489,1.7224083191814652,4.352982170231939
remove_sound,accuracy,3,0.5,0.0,0.5,0.5
remove_sound,cross_entropy,3,1.1636041402816772,0.059510779427033755,1.0794432163238525,1.205743432044983
remove_sound,brier_score,3,0.15774522721767426,0.009044857655943058,0.1450096219778061,0.16514620184898376
remove_sound,expected_calibration_error,3,0.1634347289800644,0.02500075718910268,0.1281987726688385,0.18357804417610168
remove_sound,mean_reconstruction_rmse,3,0.15621966951423222,0.011779048697420585,0.14013972878456116,0.16802734633286795
remove_sound,residual_l2,3,2.539576527459228,1.277837092051698,1.603473847316813,4.346315762413836
remove_vision,accuracy,3,0.4166666666666667,0.11785113019775792,0.25,0.5
remove_vision,cross_entropy,3,1.22845458984375,0.0645476564661088,1.138667345046997,1.287606120109558
remove_vision,brier_score,3,0.16731400787830353,0.008875866792801841,0.1550806164741516,0.1758657842874527
remove_vision,expected_calibration_error,3,0.1288928041855494,0.06315256861071951,0.04348510503768921,0.19421333074569702
remove_vision,mean_reconstruction_rmse,3,0.14650368773274952,0.005487535991796539,0.13877881318330765,0.1510097955663999
remove_vision,residual_l2,3,2.4991960358603595,1.202038401702235,1.6020463106040783,4.19824531110346
sound_phase_shift,accuracy,3,0.5,0.0,0.5,0.5
sound_phase_shift,cross_entropy,3,1.1546969811121623,0.05784335404217409,1.0740067958831787,1.2066868543624878
sound_phase_shift,brier_score,3,0.15658007065455118,0.008000735678421791,0.1453062891960144,0.16305005550384521
sound_phase_shift,expected_calibration_error,3,0.15942871570587158,0.025529680446614106,0.12342803180217743,0.17979758977890015
sound_phase_shift,mean_reconstruction_rmse,3,0.15866683340734905,0.008220905106218913,0.14709271490573883,0.16540507972240448
sound_phase_shift,residual_l2,3,2.399993338263401,1.1437044647076533,1.5481180752141903,4.016653966980031
vision_occlusion,accuracy,3,0.5,0.0,0.5,0.5
vision_occlusion,cross_entropy,3,1.1889069080352783,0.06237805930895365,1.1009248495101929,1.2384568452835083
vision_occlusion,brier_score,3,0.16194457312424979,0.008622823045969862,0.14987704157829285,0.16949841380119324
vision_occlusion,expected_calibration_error,3,0.17355164885520935,0.025749174964088944,0.1378403604030609,0.1975764036178589
vision_occlusion,mean_reconstruction_rmse,3,0.1448271075884501,0.008888370720223613,0.13393973310788473,0.1557117054859797
vision_occlusion,residual_l2,3,2.4381746270967817,1.180946378558354,1.555965062853128,4.107380071669739
color_channel_permutation,accuracy,3,0.25,0.0,0.25,0.25
color_channel_permutation,cross_entropy,3,1.4012966950734456,0.016371285904205553,1.380444884300232,1.4204363822937012
color_channel_permutation,brier_score,3,0.19021457930405936,0.0010843627947729128,0.18896430730819702,0.191608726978302
color_channel_permutation,expected_calibration_error,3,0.06507453074057896,0.03213803656146938,0.03339642286300659,0.10913863033056259
color_channel_permutation,mean_reconstruction_rmse,3,0.1603555844889747,0.004223513454238848,0.15590454638004303,0.1660304938753446
color_channel_permutation,residual_l2,3,2.472578294105181,1.1812712608973739,1.5664920155157869,4.141087775816287
