arm_mode,RMSE,R2,density_arm_contrast,dominant_mode,target_mode_ratio,spiral_order_parameter,initialization_vs_evolution_score,source_status,TNE_vs_baseline_note
2,0.14332973414254763,0.48518561677054173,3.287563533025711,3.0,0.24668782713786208,0.6349638204004935,-0.013632339452718426,fetched,Simple baseline family remains better or comparable under the implemented multi-galaxy proxy mapping.
3,0.15362976470138273,0.4085353243190619,2.484906920793406,3.0,0.26252526993994274,0.6359687821613619,0.11332637665270019,fetched,Simple baseline family remains better or comparable under the implemented multi-galaxy proxy mapping.
4,0.13259613742295692,0.5594047329670517,4.3550511707267425,4.0,0.26863931739817876,0.7054710231353987,0.17650527089875329,fetched,Best preliminary residual fit under the implemented proxy mapping.
mixed,0.15925334280329495,0.3644419912597755,3.2002792342743023,1.0,0.25186904071086086,0.60741329804757,-0.06285507446068832,fetched,Simple baseline family remains better or comparable under the implemented multi-galaxy proxy mapping.
