model,empirical_dataset,data_status,comparison_type,fitted_parameters,RMSE,MAE,R2,chi_square,AIC,BIC,baseline_model,TNE_vs_baseline_note,limitations,passed_validation
elastic_dubler_effect,redshift_clock,cached,redshift benchmark comparison,"{""K_D"": 0.25, ""beta"": 1.25, ""formula"": ""z_TNE = exp(-(beta * observable_x) / K_D) - 1"", ""parameter_bounds"": {""K_D"": [0.25, 4.0], ""beta"": [0.02, 1.25]}, ""score"": 0.00923094413395547}",0.00923094413395547,0.00895960694857892,0.9996591548038047,405133141.38148963,-14.740775772248174,-17.354481411128283,published_or_fixture_baseline_shift,Published or fixture baseline remains better or comparable on this small benchmark.,Small benchmark comparison only,True
locality_driven_gravity,galaxy_rotation,fetched,rotation-curve comparison,"{""aggregation_mix"": 0.6, ""arm_mode"": ""4"", ""arm_modes_tested"": [""2"", ""3"", ""4"", ""mixed""], ""baseline_scores"": {""NGC2403"": {""flat_RMSE"": 0.2088623617580955, ""linear_RMSE"": 0.132721409374773}, ""NGC3198"": {""flat_RMSE"": 0.23591585664129716, ""linear_RMSE"": 0.18888849089777288}, ""NGC6503"": {""flat_RMSE"": 0.07071144951439547, ""linear_RMSE"": 0.06634440756724387}}, ""parameter_sweep_level"": ""quick"", ""per_galaxy"": {""NGC2403"": {""aggregation_mix"": 0.6, ""radius_scale"": 1.1469636616338355, ""score"": 0.11265591887424628, ""velocity_scale"": 0.1791806473457559}, ""NGC3198"": {""aggregation_mix"": 0.6, ""radius_scale"": 1.1469636616338355, ""score"": 0.16368741513450544, ""velocity_scale"": 0.18313002801250194}, ""NGC6503"": {""aggregation_mix"": 0.6, ""radius_scale"": 1.1469636616338355, ""score"": 0.11515329368996073, ""velocity_scale"": 0.18551331421471698}}, ""radius_scale"": 1.1469636616338355, ""selected_baselines"": {""NGC2403"": ""linear_rotation_baseline"", ""NGC3198"": ""linear_rotation_baseline"", ""NGC6503"": ""linear_rotation_baseline""}, ""simulation_params"": {""G_eff"": 0.24, ""arm_mode"": 4, ""arm_mode_mixture"": [2, 3, 4], ""arm_mode_weights"": [0.45, 0.35, 0.2], ""arm_seed_strength"": 1.0, ""asymmetry_seed"": 0.075, ""bar_strength"": 0.22, ""central_mass"": 205.0, ""cluster_mass_scale"": 2.4, ""damping"": 0.992, ""density_gradient_coupling"": 0.55, ""density_sigma"": 0.34, ""dt"": 0.032, ""elastic_beta"": 0.55, ""elastic_kappa"": 0.5, ""entropic_alpha"": 0.95, ""eps"": 0.16, ""gas_mass_scale"": 0.72, ""grid_size"": 28, ""initialization_jitter"": 0.06, ""initialization_winding_strength"": 1.9, ""n_particles"": 120, ""radial_scale"": 3.2, ""relax"": 0.86, ""shear"": 0.12, ""shear_gamma"": 0.48, ""sigma"": 3.0, ""star_mass_scale"": 1.0, ""steps"": 200, ""vertical_scale"": 0.22}, ""velocity_scale"": 0.18260799652432494}",0.13259613742295692,0.09756297665399527,0.5594047329670517,4882.953546977945,-274.94441569201484,-256.7310867398864,multi_galaxy_baseline_family,Best preliminary residual fit under the implemented proxy mapping.,Not a full astrophysical interpretation,True
black_hole_dynamics,eht_observables,cached,horizon/shadow proxy comparison,"{""angular_factor"": [0.3869047619047389, 0.487804877989292], ""central_depression_proxy"": 0.09375393008753712, ""horizon_radius_proxy"": 4.365858543091713, ""ring_contrast_proxy"": 0.6498129758355458, ""ring_proxy"": 5.605569904914189, ""ring_scale"": 19.057494648351135, ""shadow_proxy"": 4.365858543091713, ""shadow_scale"": 12.239120674808033, ""source_specific_scale"": {""M87*"": 15.898742292514108, ""SgrA*"": 15.55253456294255}, ""threshold_contour_radius"": 2.8027849524570945}",0.4112144395934495,0.3676233888493883,0.9988910333419617,0.13411303381798323,-3.109123597713289,-4.336534875473507,none,Mass-distance angular mapping is reported as a finite illustrative proxy; source-specific scaling remains diagnostic only.,Published summary observables only,True
black_hole_dynamics,ligo_waveforms,fetched,memory-trace comparison,"{""amplitude_scale"": 0.011850288282259768, ""derivative_weight"": 0.2, ""score"": 0.4206216300949059, ""time_shift"": 0.010000000000000002}",0.4206216300949059,0.345753407128193,0.0014652065108782253,26.102142553291383,-110.58280673596282,-108.40841946606719,none,Preliminary comparison only,Memory proxy uses waveform-style comparison data,True
elastic_pi_ripples,ligo_ringdown,fetched,ringdown residual comparison,"{""baseline"": {""amplitude"": -1.0010704921562432, ""bounds"": {""amplitude"": [-2.5, 2.5], ""frequency"": [0.2, 12.0], ""phase"": [-6.283185307179586, 6.283185307179586], ""tau"": [0.02, 1.5]}, ""frequency"": 11.99999999999987, ""phase"": 0.8195328482821126, ""score"": 0.39732092338476915, ""tau"": 0.020000000000000004}, ""holdout"": {""baseline_test_RMSE"": 0.3714620119574305, ""baseline_train_RMSE"": 0.41389863184221204, ""test_RMSE"": 0.3484414437486656, ""train_RMSE"": 0.4199051534925416}, ""parameter_sweep_level"": ""quick"", ""tne"": {""basis_coefficients"": [-0.006568788501543408, -0.004159429162494579, -0.7592226823470576, -0.004703298419737413, -0.00986335610781298, -0.907389410125112], ""basis_names"": [""centerline"", ""dominant_mode_1"", ""dominant_mode_2"", ""interference_projection"", ""energy_envelope"", ""centerline_velocity""], ""parameter_bounds"": {""c_E"": [1.0, 1.0], ""gamma"": [0.06, 0.1], ""time_scale"": [0.6, 1.4], ""time_shift"": [0.0, 0.01], ""width"": [0.8, 1.1], ""xi"": [-0.08, -0.08]}, ""projection_name"": ""reduced_tne_basis"", ""score"": 0.40345995944356666, ""simulation_params"": {""amplitude"": 0.9, ""c_E"": 1.0, ""center"": 0.0, ""dt"": 0.003, ""gamma"": 0.1, ""length"": 20.0, ""n"": 240, ""steps"": 420, ""width"": 0.8, ""xi"": -0.08}, ""time_scale"": 1.0, ""time_shift"": 0.0}, ""window_variant"": ""standard""}",0.40345995944356666,0.3336654774973396,0.05706782488127038,21.028008042184954,-87.4752953399099,-71.13088519723351,damped_sinusoid_baseline,Baseline remains better or comparable under the same aligned ringdown window.,Finite toy-model ringdown comparison only,True
