split,train_rmse,validation_rmse,rmse,mae,snr_db,generalization_gap
train,0.16728535294532776,,,,,
validation,,0.21174214780330658,,,,
test,0.16728535294532776,0.21174214780330658,0.24144819378852844,0.1965143233537674,8.39105224609375,0.07416284084320068
