sample,target,prediction,absolute_error,metric_producer
0,0.7647058963775635|0.8235294222831726|0.3446570634841919,0.7349497079849243|0.2987383008003235|0.387338250875473,0.19907617568969727,SOInet
1,0.29411765933036804|0.529411792755127|0.16909298300743103,0.4527056813240051|0.49462005496025085|0.3694838881492615,0.13125689327716827,SOInet
2,0.8823529481887817|0.529411792755127|0.7317785620689392,0.7769272327423096|0.1682589054107666|0.43728339672088623,0.25369125604629517,SOInet
3,0.7058823108673096|0.47058823704719543|0.8309071063995361,0.6815477609634399|0.22419746220111847|0.4526233673095703,0.21633635461330414,SOInet
4,1.0|0.4117647111415863|0.4999999403953552,0.8362894058227539|0.1429322361946106|0.4097626209259033,0.17426013946533203,SOInet
5,1.0|0.47058823704719543|0.4999999403953552,0.8574256896972656|0.1297699213027954|0.41084328293800354,0.19084976613521576,SOInet
6,0.6470588445663452|0.05882352963089943|0.23955479264259338,0.7611104249954224|0.23335574567317963|0.3529515266418457,0.13399352133274078,SOInet
7,0.7647058963775635|0.6470588445663452|0.7100222706794739,0.8147604465484619|0.17223525047302246|0.41694924235343933,0.2726503908634186,SOInet
