architecture,metric_producer,mode,output_group,closure_status,residual_norm,train_accuracy,validation_accuracy,accuracy,test_loss,mean_confidence,generalization_gap,roundtrip_accuracy,modality_rmse,train_rmse,validation_rmse,rmse,mae,snr_db
qenn,SOInet,simulation,color_classification,open,4.008392931380002,1.0,0.8333333134651184,0.9166666865348816,1.5716720819473267,0.2110946923494339,0.08333331346511841,,,,,,,
qenn,SOInet,simulation,sound_classification,open,2.8535460875797063,0.8333333134651184,0.6666666865348816,0.8333333134651184,0.9552025198936462,0.3863781988620758,0.0,,,,,,,
qenn,SOInet,simulation,bidirectional_color_classification,open,2.390293032310485,0.5,0.5,0.5,1.6417478322982788,0.1971968412399292,0.0,0.5,0.3632749319076538,,,,,
qenn,SOInet,simulation,bidirectional_sound_classification,open,2.8587907477899823,1.0,1.0,1.0,0.9015252590179443,0.40904688835144043,0.0,0.3333333432674408,0.6001147627830505,,,,,
qenn,SOInet,simulation,color_cloning,open,5.831064913535941,,,,,,-0.00880502164363861,,,0.18813994526863098,0.22977371513843536,0.17933492362499237,0.15013471245765686,10.204721450805664
qenn,SOInet,simulation,sound_cloning,open,3.889557319467289,,,,,,-0.06447169184684753,,,0.39109209179878235,0.3384871780872345,0.3266203999519348,0.22165298461914062,0.008141267113387585
