node_index,stream,x,y,z,degree,state_source
0,invariant,-0.20516579772612983,-0.17102997525512048,-0.06599135121576026,10.995141892390842,runtime_output_tensor
1,anti_invariant,-0.2757393731934505,-0.09741744622183134,-0.18861605433848916,10.994382418424589,runtime_output_tensor
2,dtqc_memory,0.33826512981793494,-0.04704712701310817,0.04603066557595294,10.996174764076603,runtime_output_tensor
3,closure,-0.04973022086746095,0.25592728561893197,0.12315712592513284,10.99279396887152,runtime_output_tensor
4,invariant,1.0,-0.04554568535139696,0.01932422675027603,10.996020347953198,runtime_output_tensor
5,anti_invariant,0.5013343510139198,0.17976542205249657,0.021992787598116275,10.9936824250345,runtime_output_tensor
6,dtqc_memory,-0.737557845200135,0.10477067902811112,-0.07235257109576967,10.99472906760157,runtime_output_tensor
7,closure,-0.46947270140375197,-0.24142997872849417,0.11573209438540448,10.993037462691337,runtime_output_tensor
8,invariant,0.2769286424370479,-0.08114319567723538,-0.10710382118221415,10.995348851139966,runtime_output_tensor
9,anti_invariant,0.3520030338324441,0.07254537656210482,-0.17845667724497744,10.994643853325481,runtime_output_tensor
10,dtqc_memory,-0.7266168205332294,0.1615826566605295,0.01478669104234151,10.996345772564348,runtime_output_tensor
11,closure,-0.004248398177184757,-0.09097801167498921,0.27149688379998493,10.992850009028166,runtime_output_tensor
