arm_mode,initial_mean_radius,final_mean_radius,radial_concentration,spiral_order_parameter,mode_1_amplitude,mode_2_amplitude,mode_3_amplitude,mode_4_amplitude,dominant_mode,dominant_mode_amplitude,target_mode_amplitude,target_mode_ratio,pitch_angle_proxy,density_arm_contrast,angular_momentum_initial,angular_momentum_final,angular_momentum_drift,total_mass,energy_proxy,elastic_tension_mean,elastic_tension_max,tension_mean,tension_max,tension_gradient_mean,arm_asymmetry_index,peak_rotation_velocity,mass_conservation_error,morphology_stability_score,field_feedback_strength,initialization_vs_evolution_score,initial_target_mode_amplitude,initial_dominant_mode_amplitude,nan_count,central_mass_count,star_system_count,gas_cloud_count,cluster_count
2,1.1836065668215947,0.3772409654631579,0.8063656013584368,0.5102530267050522,0.5102530267050522,0.324641062888076,0.4418126550658824,0.4650254034528122,1.0,0.5102530267050522,0.324641062888076,0.18638977482262498,2.7077416153270644,2.5679907830735096,3160.7759312911558,1204.4272332949567,-0.6189457084346511,486.42164761889796,8699.79388652395,0.11201291800223626,1.0,0.11201291800223626,1.0,0.04824000945076412,0.4419088328647059,7.263712887605746,0.0,11.494513055287634,0.0,-0.4000016345407843,0.5410699121488576,0.5410699121488576,0,1.0,139.0,67.0,24.0
3,1.1836065673498213,0.3684061528416392,0.8152004145081821,0.5190185476177795,0.4363544414922519,0.5190185476177795,0.45928873169371304,0.4829737778667469,2.0,0.5190185476177795,0.45928873169371304,0.2420321141838118,3.0053379757496486,2.0012557827541086,3160.218491374965,1204.6674734501034,-0.6188024730764832,486.42164761889796,8204.802360025396,0.11151741144831867,1.0,0.11151741144831867,1.0,0.04420356568884344,0.47912577806827256,7.738940623787174,0.0,5.732436761196857,0.0,0.040266383379144205,0.4415106928686328,0.4479965958278687,0,1.0,139.0,67.0,24.0
4,1.1836065668215947,0.35765329256057016,0.8259532742610245,0.5126005219824168,0.45513097261590657,0.5126005219824168,0.47668637929424956,0.47340718064993287,2.0,0.5126005219824168,0.47340718064993287,0.24684586298859076,0.11302529007563558,2.0847159061395812,3160.2186223837766,1203.0182298629927,-0.6193243653011742,486.42164761889796,8330.488932223976,0.10436966425329558,1.0,0.10436966425329558,1.0,0.046835028730949725,0.39097585360502723,7.79720167311803,0.0,15.27827608475114,0.0,-0.04258826319218545,0.49446561228547437,0.49446561228547437,0,1.0,139.0,67.0,24.0
mixed,1.1819865570945742,0.3727388996554516,0.8092476574391226,0.5491669345603446,0.44659057900723387,0.5491669345603446,0.4699226982638892,0.45232360121145254,2.0,0.5491669345603446,0.5491669345603446,0.28632212867648205,2.6958872796228452,2.4589715531976126,3180.854149798823,1213.7009097394914,-0.6184355356826864,489.16762681832165,8695.254102015833,0.13345123802755968,1.0,0.13345123802755968,1.0,0.055278097070477795,0.41330471252459844,7.83786895570147,0.0,5.855625736132171,0.0,0.048120299255330255,0.523954106175092,0.523954106175092,0,1.0,139.0,67.0,24.0
