Input,FP_Result,Standard_Result
0.0,0.0,0.0
0.02506265664160401,0.02506790555238417,0.02506790555238417
0.05012531328320802,0.050167336253290465,0.050167336253290465
0.07518796992481203,0.07532997603377638,0.07532997603377638
0.10025062656641603,0.10058782809244218,0.10058782809244218
0.12531328320802004,0.12597337881678303,0.12597337881678303
0.15037593984962405,0.1515197669384475,0.1515197669384475
0.17543859649122806,0.17726095981775214,0.17726095981775214
0.20050125313283207,0.20323193888749466,0.20323193888749466
0.22556390977443608,0.2294688964616269,0.2294688964616269
0.2506265664160401,0.25600944633588235,0.25600944633588235
0.2756892230576441,0.28289285088169364,0.28289285088169364
0.3007518796992481,0.3101602676701494,0.3101602676701494
0.3258145363408521,0.3378550190699684,0.3378550190699684
0.3508771929824561,0.3660228887557881,0.3660228887557881
0.37593984962406013,0.3947124496570423,0.3947124496570423
0.40100250626566414,0.42397542859398,0.42397542859398
0.42606516290726815,0.45386711371174315,0.45386711371174315
0.45112781954887216,0.48444681186812827,0.48444681186812827
0.47619047619047616,0.5157783643962404,0.5157783643962404
0.5012531328320802,0.5479307312007469,0.5479307312007469
0.5263157894736842,0.5809786550205142,0.5809786550205142
0.5513784461152882,0.6150034199832373,0.6150034199832373
0.5764411027568922,0.6500937213943254,0.6500937213943254
0.6015037593984962,0.6863466671777791,0.6863466671777791
0.6265664160401002,0.7238689356955693,0.7238689356955693
0.6516290726817042,0.7627781200409625,0.7627781200409625
0.6766917293233082,0.8032042956271829,0.8032042956271829
0.7017543859649122,0.8452918563668282,0.8452918563668282
0.7268170426065163,0.8892016754784022,0.8892016754784022
0.7518796992481203,0.9351136606577461,0.9351136606577461
0.7769423558897243,0.9832297909484637,0.9832297909484637
0.8020050125313283,1.0337777454061863,1.0337777454061863
0.8270676691729323,1.0870152633168835,1.0870152633168835
0.8521303258145363,1.1432354147071206,1.1432354147071206
0.8771929824561403,1.2027730115389674,1.2027730115389674
0.9022556390977443,1.2660124590665058,1.2660124590665058
0.9273182957393483,1.333397440132976,1.333397440132976
0.9523809523809523,1.4054429525222447,1.4054429525222447
0.9774436090225563,1.4827503952203973,1.4827503952203973
1.0025062656641603,1.5660266449413298,1.5660266449413298
1.0275689223057642,1.6561084117071858,1.6561084117071858
1.0526315789473684,1.7539936609561626,1.7539936609561626
1.0776942355889725,1.860882616448926,1.860882616448926
1.1027568922305764,1.97823193531307,1.97823193531307
1.1278195488721803,2.1078272720774014,2.1078272720774014
1.1528822055137844,2.2518819514108244,2.2518819514108244
1.1779448621553885,2.4131734092155517,2.4131734092155517
1.2030075187969924,2.5952354180117396,2.5952354180117396
1.2280701754385963,2.8026346522049246,2.8026346522049246
1.2531328320802004,3.041378172394483,3.041378172394483
1.2781954887218046,3.319530325688621,3.319530325688621
1.3032581453634084,3.6481763869971076,3.6481763869971076
1.3283208020050123,4.042983819286998,4.042983819286998
1.3533834586466165,4.526843394039539,4.526843394039539
1.3784461152882206,5.13457508985223,5.13457508985223
1.4035087719298245,5.921864153186539,5.921864153186539
1.4285714285714284,6.9836453508205,6.9836453508205
1.4536340852130325,8.496083124747166,8.496083124747166
1.4786967418546366,10.827094996684067,10.827094996684067
1.5037593984962405,14.894798928088408,14.894798928088408
1.5288220551378444,23.81012491050441,23.81012491050441
1.5538847117794485,59.12532085362893,59.12532085362893
1.5789473684210527,-122.68098965411494,-122.68098965411494
1.6040100250626566,-30.09698734272488,-30.09698734272488
1.6290726817042605,-17.14018834314185,-17.14018834314185
1.6541353383458646,-11.97138985062883,-11.97138985062883
1.6791979949874687,-9.188788057822881,-9.188788057822881
1.7042606516290726,-7.448097931469514,-7.448097931469514
1.7293233082706765,-6.255143369717002,-6.255143369717002
1.7543859649122806,-5.385596005353786,-5.385596005353786
1.7794486215538847,-4.722908894106326,-4.722908894106326
1.8045112781954886,-4.200526259684758,-4.200526259684758
1.8295739348370925,-3.777675215082422,-3.777675215082422
1.8546365914786966,-3.4279828039199085,-3.4279828039199085
1.8796992481203008,-3.1336343382602756,-3.1336343382602756
1.9047619047619047,-2.8821620823241525,-2.8821620823241525
1.9298245614035086,-2.664578967567965,-2.664578967567965
1.9548872180451127,-2.474242978207291,-2.474242978207291
1.9799498746867168,-2.3061389071590184,-2.3061389071590184
2.0050125313283207,-2.1564088500441425,-2.1564088500441425
2.0300751879699246,-2.0220364224699847,-2.0220364224699847
2.0551378446115285,-1.9006290187598174,-1.9006290187598174
2.080200501253133,-1.7902643466367887,-1.7902643466367887
2.1052631578947367,-1.6893801392373284,-1.6893801392373284
2.1303258145363406,-1.5966935062846266,-1.5966935062846266
2.155388471177945,-1.5111410295186891,-1.5111410295186891
2.180451127819549,-1.4318336328002244,-1.4318336328002244
2.2055137844611528,-1.358022143034574,-1.358022143034574
2.2305764411027567,-1.28907069910234,-1.28907069910234
2.2556390977443606,-1.224435998266679,-1.224435998266679
2.280701754385965,-1.1636509373621,-1.1636509373621
2.305764411027569,-1.1063115996336084,-1.1063115996336084
2.3308270676691727,-1.0520668148554768,-1.0520668148554768
2.355889724310777,-1.0006097176031359,-1.0006097176031359
2.380952380952381,-0.9516708708783301,-0.9516708708783301
2.406015037593985,-0.9050126261760364,-0.9050126261760364
2.4310776942355887,-0.8604244677298932,-0.8604244677298932
2.4561403508771926,-0.817719145792088,-0.817719145792088
2.481203007518797,-0.7767294467699709,-0.7767294467699709
2.506265664160401,-0.7373054806467079,-0.7373054806467079
2.5313283208020048,-0.6993123910604511,-0.6993123910604511
2.556390977443609,-0.6626284126530252,-0.6626284126530252
2.581453634085213,-0.6271432152409381,-0.6271432152409381
2.606516290726817,-0.592756486047762,-0.592756486047762
2.631578947368421,-0.5593767104366028,-0.5593767104366028
2.6566416040100247,-0.5269201188681646,-0.5269201188681646
2.681704260651629,-0.4953097736152258,-0.4953097736152258
2.706766917293233,-0.46447477341475363,-0.46447477341475363
2.731829573934837,-0.43434955798341784,-0.43434955798341784
2.756892230576441,-0.4048732973520931,-0.4048732973520931
2.781954887218045,-0.3759893534375448,-0.3759893534375448
2.807017543859649,-0.3476448032795567,-0.3476448032795567
2.832080200501253,-0.31979001501877347,-0.31979001501877347
2.8571428571428568,-0.2923782690447129,-0.2923782690447129
2.882205513784461,-0.26536541786024104,-0.26536541786024104
2.907268170426065,-0.2387095791321548,-0.2387095791321548
2.932330827067669,-0.21237085716232038,-0.21237085716232038
2.9573934837092732,-0.18631108864797313,-0.18631108864797313
2.982456140350877,-0.1604936091255519,-0.1604936091255519
3.007518796992481,-0.13488303692775075,-0.13488303692775075
3.032581453634085,-0.10944507184266697,-0.10944507184266697
3.057644110275689,-0.08414630595846759,-0.08414630595846759
3.082706766917293,-0.05895404441611832,-0.05895404441611832
3.107769423558897,-0.03383613398366031,-0.03383613398366031
3.132832080200501,-0.008760797513968088,-0.008760797513968088
3.1578947368421053,0.016303527541748193,0.016303527541748193
3.182957393483709,0.04138834831709186,0.04138834831709186
3.208020050125313,0.06652527512013622,0.06652527512013622
3.233082706766917,0.09174618112850078,0.09174618112850078
3.258145363408521,0.11708336490914441,0.11708336490914441
