split,train_rmse,validation_rmse,rmse,mae,snr_db,generalization_gap
train,0.39109209179878235,,,,,
validation,,0.3384871780872345,,,,
test,0.39109209179878235,0.3384871780872345,0.3266203999519348,0.22165298461914062,0.008141267113387585,-0.06447169184684753
