radius,velocity,velocity_uncertainty,radius_kpc,velocity_kms,velocity_uncertainty_kms,galaxy_id,source_status
0.007666506947771921,0.1801470588235294,0.020808823529411765,0.16,24.5,2.83,NGC2403,fetched
0.022041207474844275,0.38235294117647056,0.009191176470588236,0.46,52.0,1.25,NGC2403,fetched
0.03641590800191662,0.5272058823529412,0.009191176470588236,0.76,71.7,1.25,NGC2403,fetched
0.05079060852898898,0.5632352941176471,0.00823529411764706,1.06,76.6,1.12,NGC2403,fetched
0.07043603258265452,0.6426470588235295,0.010367647058823528,1.47,87.4,1.41,NGC2403,fetched
0.08481073310972688,0.6860294117647059,0.010367647058823528,1.77,93.3,1.41,NGC2403,fetched
0.09966459032103497,0.7286764705882353,0.014852941176470588,2.08,99.1,2.02,NGC2403,fetched
0.11356013416387159,0.7220588235294118,0.007352941176470588,2.37,98.2,1.0,NGC2403,fetched
0.1284139913751797,0.7220588235294118,0.00823529411764706,2.68,98.2,1.12,NGC2403,fetched
0.14278869190225202,0.7352941176470589,0.019779411764705882,2.98,100.0,2.69,NGC2403,fetched
0.15764254911356013,0.7426470588235294,0.024999999999999998,3.29,101.0,3.4,NGC2403,fetched
0.17201724964063247,0.8088235294117647,0.018088235294117648,3.59,110.0,2.46,NGC2403,fetched
0.19118351701006228,0.8676470588235294,0.03566176470588235,3.99,118.0,4.85,NGC2403,fetched
0.26209870627695253,0.9117647058823529,0.0016176470588235294,5.47,124.0,0.22,NGC2403,fetched
0.33349305222807857,0.9264705882352942,0.004044117647058824,6.96,126.0,0.55,NGC2403,fetched
0.40488739817920455,0.9338235294117647,0.010661764705882353,8.45,127.0,1.45,NGC2403,fetched
0.4762817441303306,0.9338235294117647,0.018823529411764708,9.94,127.0,2.56,NGC2403,fetched
0.5476760900814566,0.9558823529411765,0.008308823529411764,11.43,130.0,1.13,NGC2403,fetched
0.6190704360325826,0.9779411764705882,0.019705882352941177,12.92,133.0,2.68,NGC2403,fetched
0.6904647819837086,0.9779411764705882,0.018823529411764708,14.41,133.0,2.56,NGC2403,fetched
0.7858169621466219,0.9852941176470589,0.017279411764705883,16.4,134.0,2.35,NGC2403,fetched
0.8572113080977479,1.0,0.046911764705882354,17.89,136.0,6.38,NGC2403,fetched
0.9286056540488739,0.9852941176470589,0.04602941176470588,19.38,134.0,6.26,NGC2403,fetched
1.0,0.9852941176470589,0.022941176470588236,20.87,134.0,3.12,NGC2403,fetched
0.007259528130671507,0.1554140127388535,0.2286624203821656,0.32,24.4,35.9,NGC3198,fetched
0.021778584392014518,0.2898089171974522,0.10254777070063695,0.96,45.5,16.1,NGC3198,fetched
0.03652450090744102,0.4382165605095541,0.048471337579617836,1.61,68.8,7.61,NGC3198,fetched
0.04378402903811252,0.4898089171974523,0.06560509554140127,1.93,76.9,10.3,NGC3198,fetched
0.058303085299455534,0.5535031847133758,0.04840764331210191,2.57,86.9,7.6,NGC3198,fetched
0.07282214156079855,0.6369426751592356,0.03382165605095541,3.21,100.0,5.31,NGC3198,fetched
0.08734119782214157,0.7197452229299363,0.04662420382165605,3.85,113.0,7.32,NGC3198,fetched
0.10208711433756806,0.7579617834394905,0.03611464968152866,4.5,119.0,5.67,NGC3198,fetched
0.11683303085299457,0.8407643312101911,0.027643312101910827,5.15,132.0,4.34,NGC3198,fetched
0.12386569872958259,0.8535031847133758,0.01503184713375796,5.46,134.0,2.36,NGC3198,fetched
0.1383847549909256,0.89171974522293,0.01808917197452229,6.1,140.0,2.84,NGC3198,fetched
0.15290381125226862,0.9171974522292994,0.007834394904458598,6.74,144.0,1.23,NGC3198,fetched
0.18239564428312158,0.9363057324840764,0.01910828025477707,8.04,147.0,3.0,NGC3198,fetched
0.2277676950998185,0.9681528662420382,0.012738853503184714,10.04,152.0,2.0,NGC3198,fetched
0.27336660617059894,0.9936305732484076,0.012738853503184714,12.05,156.0,2.0,NGC3198,fetched
0.31873865698729587,1.0,0.012738853503184714,14.05,157.0,2.0,NGC3198,fetched
0.4112976406533575,0.9745222929936306,0.012738853503184714,18.13,153.0,2.0,NGC3198,fetched
0.5018148820326679,0.9745222929936306,0.012738853503184714,22.12,153.0,2.0,NGC3198,fetched
0.5921052631578948,0.9490445859872612,0.012738853503184714,26.1,149.0,2.0,NGC3198,fetched
0.6823956442831216,0.9299363057324841,0.012738853503184714,30.08,146.0,2.0,NGC3198,fetched
0.7726860254083485,0.9426751592356688,0.012738853503184714,34.06,148.0,2.0,NGC3198,fetched
0.8194192377495463,0.9426751592356688,0.012738853503184714,36.12,148.0,2.0,NGC3198,fetched
0.9097096188747732,0.9554140127388535,0.012738853503184714,40.1,150.0,2.0,NGC3198,fetched
1.0,0.9490445859872612,0.01910828025477707,44.08,149.0,3.0,NGC3198,fetched
0.03234042553191489,0.6363636363636364,0.08264462809917356,0.76,77.0,10.0,NGC6503,fetched
0.06468085106382979,0.8264462809917356,0.04132231404958678,1.52,100.0,5.0,NGC6503,fetched
0.12936170212765957,0.9752066115702479,0.01652892561983471,3.04,118.0,2.0,NGC6503,fetched
0.16127659574468084,1.0,0.01652892561983471,3.79,121.0,2.0,NGC6503,fetched
0.19361702127659575,1.0,0.01652892561983471,4.55,121.0,2.0,NGC6503,fetched
0.25829787234042556,0.9586776859504132,0.01652892561983471,6.07,116.0,2.0,NGC6503,fetched
0.2906382978723404,0.9586776859504132,0.01652892561983471,6.83,116.0,2.0,NGC6503,fetched
0.3229787234042553,0.9586776859504132,0.01652892561983471,7.59,116.0,2.0,NGC6503,fetched
0.35531914893617017,0.9504132231404959,0.008264462809917356,8.35,115.0,1.0,NGC6503,fetched
0.41957446808510634,0.9586776859504132,0.008264462809917356,9.86,116.0,1.0,NGC6503,fetched
0.45276595744680853,0.9669421487603306,0.008264462809917356,10.64,117.0,1.0,NGC6503,fetched
0.4842553191489362,0.9669421487603306,0.008264462809917356,11.38,117.0,1.0,NGC6503,fetched
0.5472340425531914,0.9669421487603306,0.008264462809917356,12.86,117.0,1.0,NGC6503,fetched
0.5829787234042553,0.9586776859504132,0.008264462809917356,13.7,116.0,1.0,NGC6503,fetched
0.614468085106383,0.9504132231404959,0.008264462809917356,14.44,115.0,1.0,NGC6503,fetched
0.6770212765957447,0.9586776859504132,0.008264462809917356,15.91,116.0,1.0,NGC6503,fetched
0.7085106382978723,0.9504132231404959,0.01652892561983471,16.65,115.0,2.0,NGC6503,fetched
0.7442553191489361,0.9504132231404959,0.01652892561983471,17.49,115.0,2.0,NGC6503,fetched
0.7757446808510639,0.9504132231404959,0.01652892561983471,18.23,115.0,2.0,NGC6503,fetched
0.8387234042553192,0.9504132231404959,0.01652892561983471,19.71,115.0,2.0,NGC6503,fetched
0.8702127659574468,0.9421487603305785,0.01652892561983471,20.45,114.0,2.0,NGC6503,fetched
0.9059574468085106,0.9586776859504132,0.01652892561983471,21.29,116.0,2.0,NGC6503,fetched
0.9685106382978724,0.9752066115702479,0.03305785123966942,22.76,118.0,4.0,NGC6503,fetched
1.0,0.9504132231404959,0.08264462809917356,23.5,115.0,10.0,NGC6503,fetched
