source,ring_diameter_observed,ring_diameter_predicted_shared,ring_diameter_predicted_source_specific,shadow_radius_observed,shadow_radius_predicted_shared,shadow_radius_predicted_source_specific,ring_residual_shared,shadow_residual_shared,ring_residual_source_specific,shadow_residual_source_specific,ring_normalized_residual,shadow_normalized_residual,source_status
M87*,42.0,32.6484319316531,31.35164249528876,21.0,25.428000700231742,24.41800540352176,-9.3515680683469,4.428000700231742,-10.648357504711239,3.418005403521761,-3.117189356114594,2.952000466819193,cached
SgrA*,51.8,32.6484319316531,38.99895938046654,25.9,25.428000700231742,30.37406416671972,-19.151568068346897,-0.4719992997682567,-12.80104061953346,4.474064166719721,-8.326768725364596,-0.3933327498065528,cached
