radius,radius_kpc,observed_velocity,observed_velocity_kms,velocity_uncertainty,velocity_uncertainty_kms,tne_prediction,baseline_prediction,flat_baseline_prediction,linear_baseline_prediction,smoothed_empirical_reference,tne_residual,baseline_residual,galaxy_id,best_arm_mode,baseline_winner,source_status
0.007666506947771921,0.16,0.1801470588235294,24.5,0.020808823529411765,2.83,0.598318636800685,0.6139763038762567,0.7867647058823529,0.6139763038762567,0.1875,0.41817157797715554,0.43382924505272724,NGC2403,4,linear_rotation_baseline,fetched
0.022041207474844275,0.46,0.38235294117647056,52.0,0.009191176470588236,1.25,0.598318636800685,0.6214285411737521,0.7867647058823529,0.6214285411737521,0.36323529411764705,0.21596569562421442,0.23907559999728156,NGC2403,4,linear_rotation_baseline,fetched
0.03641590800191662,0.76,0.5272058823529412,71.7,0.009191176470588236,1.25,0.598318636800685,0.6288807784712476,0.7867647058823529,0.6288807784712476,0.4909313725490196,0.07111275444774379,0.10167489611830638,NGC2403,4,linear_rotation_baseline,fetched
0.05079060852898898,1.06,0.5632352941176471,76.6,0.00823529411764706,1.12,0.598318636800685,0.6363330157687431,0.7867647058823529,0.6363330157687431,0.5776960784313725,0.03508334268303792,0.07309772165109607,NGC2403,4,linear_rotation_baseline,fetched
0.07043603258265452,1.47,0.6426470588235295,87.4,0.010367647058823528,1.41,0.598318636800685,0.6465177400753203,0.7867647058823529,0.6465177400753203,0.6306372549019608,-0.04432842202284448,0.0038706812517907974,NGC2403,4,linear_rotation_baseline,fetched
0.08481073310972688,1.77,0.6860294117647059,93.3,0.010367647058823528,1.41,0.598318636800685,0.6539699773728157,0.7867647058823529,0.6539699773728157,0.6857843137254902,-0.08771077496402091,-0.032059434391890185,NGC2403,4,linear_rotation_baseline,fetched
0.09966459032103497,2.08,0.7286764705882353,99.1,0.014852941176470588,2.02,0.598318636800685,0.6616706225802277,0.7867647058823529,0.6616706225802277,0.7122549019607842,-0.13035783378755028,-0.06700584800800757,NGC2403,4,linear_rotation_baseline,fetched
0.11356013416387159,2.37,0.7220588235294118,98.2,0.007352941176470588,1.0,0.6144495258880798,0.6688744519678066,0.7867647058823529,0.6688744519678066,0.7242647058823528,-0.10760929764133198,-0.05318437156160516,NGC2403,4,linear_rotation_baseline,fetched
0.1284139913751797,2.68,0.7220588235294118,98.2,0.00823529411764706,1.12,0.6487106968290235,0.6765750971752186,0.7867647058823529,0.6765750971752186,0.7264705882352941,-0.07334812670038826,-0.04548372635419318,NGC2403,4,linear_rotation_baseline,fetched
0.14278869190225202,2.98,0.7352941176470589,100.0,0.019779411764705882,2.69,0.6818666687073562,0.684027334472714,0.7867647058823529,0.684027334472714,0.7333333333333334,-0.05342744893970264,-0.051266783174344854,NGC2403,4,linear_rotation_baseline,fetched
0.15764254911356013,3.29,0.7426470588235294,101.0,0.024999999999999998,3.4,0.7161278396483,0.691727979680126,0.7867647058823529,0.691727979680126,0.7622549019607843,-0.02651921917522948,-0.050919079143403434,NGC2403,4,linear_rotation_baseline,fetched
0.17201724964063247,3.59,0.8088235294117647,110.0,0.018088235294117648,2.46,0.7492838115266327,0.6991802169776216,0.7867647058823529,0.6991802169776216,0.8063725490196078,-0.059539717885132015,-0.10964331243414316,NGC2403,4,linear_rotation_baseline,fetched
0.19118351701006228,3.99,0.8676470588235294,118.0,0.03566176470588235,4.85,0.7934917740310763,0.7091165333742822,0.7867647058823529,0.7091165333742822,0.8627450980392157,-0.07415528479245315,-0.15853052544924728,NGC2403,4,linear_rotation_baseline,fetched
0.26209870627695253,5.47,0.9117647058823529,124.0,0.0016176470588235294,0.22,0.94341954366273,0.7458809040419264,0.7867647058823529,0.7458809040419264,0.9019607843137254,0.03165483778037703,-0.1658838018404265,NGC2403,4,linear_rotation_baseline,fetched
0.33349305222807857,6.96,0.9264705882352942,126.0,0.004044117647058824,0.55,0.8881822659913932,0.7828936826194872,0.7867647058823529,0.7828936826194872,0.9240196078431373,-0.038288322243900996,-0.14357690561580694,NGC2403,4,linear_rotation_baseline,fetched
0.40488739817920455,8.45,0.9338235294117647,127.0,0.010661764705882353,1.45,0.8329449883200564,0.8199064611970481,0.7867647058823529,0.8199064611970481,0.9313725490196079,-0.10087854109170835,-0.11391706821471659,NGC2403,4,linear_rotation_baseline,fetched
