source,ring_diameter,ring_diameter_uncertainty,shadow_radius,shadow_radius_uncertainty,mass_billion_solar,distance_mpc,angular_scale_note,published_reference,source_status
M87*,42.0,3.0,21.0,1.5,6.5,16.8,published summary mass-distance proxy,arXiv:1906.11241,cached
SgrA*,51.8,2.3,25.9,1.2,0.004,0.0082,published summary mass-distance proxy,arXiv:2311.09484,cached
