time,observed_strain,strain_uncertainty,tne_prediction,tne_residual,memory_derivative_proxy,cumulative_memory_proxy,source_status
0.0001659393310546875,0.312732755836333,0.6637586623492622,-0.011963877461897717,-0.3246966332982307,34.573178658737426,-0.9999999585347799,fetched
0.0048046112060546875,-0.575859128992101,0.6637586623492622,-0.011493626592346535,0.5643655023997545,30.940293825932024,-2.6307571711566213,fetched
0.009443283081054688,-0.6445723501659785,0.6637586623492622,-0.011106518192611468,0.633465831973367,26.547250007336082,-4.008038401603801,fetched
0.014081954956054688,-0.13063280904786012,0.6637586623492622,-0.01077618996939764,0.11985661907846248,22.78074591769917,-5.167381267182518,fetched
0.018720626831054688,-0.45749928604084716,0.6637586623492622,-0.010493424044985707,0.44700586199586145,19.55193397818955,-6.139326732001029,fetched
0.023359298706054688,0.20225233126686237,0.6637586623492622,-0.010251456960564235,-0.2125037882274266,16.784478433102592,-6.950115806460669,fetched
0.027997970581054688,0.6984860443325493,0.6637586623492622,-0.010044479141067085,-0.7085305234736164,14.412807894892499,-7.622290108391208,fetched
0.03263664245605469,0.3052840713918781,0.6637586623492622,-0.009849121645582607,-0.3151331930374607,12.380609516444506,-8.17520938233245,fetched
0.03727531433105469,-0.9992436583642746,0.6637586623492622,-0.009660878680744084,0.9895827796835306,10.64843345338774,-8.62234447258918,fetched
0.04191398620605469,-0.29591650463395935,0.6637586623492622,-0.009531631686148737,0.2863848729478106,9.164077829210507,-8.981724835399504,fetched
0.04655265808105469,0.1034815347802587,0.6637586623492622,-0.009422438135418102,-0.1129039729156768,7.891316711616732,-9.265818768478079,fetched
0.05119132995605469,0.6871221441646793,0.6637586623492622,-0.00932925119246376,-0.6964513953571431,6.800147530892444,-9.484944094226186,fetched
0.05583000183105469,-0.099401696337492,0.6637586623492622,-0.009249787619908544,0.09015190871758347,5.864792138119124,-9.647966876192811,fetched
0.06046867370605469,0.2787992948795737,0.6637586623492622,-0.00918208624489878,-0.2879813811244725,5.063106912385707,-9.762504152083215,fetched
0.06510734558105469,0.06285210236459507,0.6637586623492622,-0.00910563759637712,-0.07195773996097218,4.376074416493058,-9.835098640378906,fetched
0.06974601745605469,-0.725663655585536,0.6637586623492622,-0.009018980033416349,0.7166446755521196,3.7899999022476716,-9.870383526774097,fetched
0.07438468933105469,-0.0766400115700461,0.6637586623492622,-0.008977091753799515,0.06766291981624659,3.2880585254966674,-9.87420608230705,fetched
0.07902336120605469,0.29417935240252385,0.6637586623492622,-0.00894269023845849,-0.30312204264098236,2.857572267058098,-9.850953581206753,fetched
0.08366203308105469,0.8292606513244325,0.6637586623492622,-0.008913638237850623,-0.8381742895622831,2.488409710189195,-9.804115148673105,fetched
0.08830070495605469,-0.4869839271151673,0.6637586623492622,-0.008889165458372286,0.47809476165679504,2.1718657431283868,-9.73668980129339,fetched
0.09293937683105469,0.006039698200066794,0.6637586623492622,-0.008868610340596187,-0.014908308540662982,1.9004624283097675,-9.651254883895827,fetched
0.09757804870605469,-0.1440826623712044,0.6637586623492622,-0.008830771777021214,0.1352518905941832,1.6677773938194453,-9.55002504762149,fetched
0.10221672058105469,-0.2725991817139933,0.6637586623492622,-0.008779714760301155,0.2638194669536921,1.469059620983159,-9.434573187716126,fetched
0.10685539245605469,-0.17790911993460223,0.6637586623492622,-0.008767667879532062,0.16914145205507017,1.2988997027488474,-9.30680026876555,fetched
0.11149406433105469,0.9740449834040147,0.6637586623492622,-0.008758630389917334,-0.982803613793932,1.1528657538393683,-9.168270937875958,fetched
0.11613273620605469,0.026545733139829247,0.6637586623492622,-0.008751343600977303,-0.03529707674080655,1.0275365572622617,-9.020168751167509,fetched
0.12077140808105469,-0.6732780454119961,0.6637586623492622,-0.008745548126285498,0.6645324972857106,0.9199724627998458,-8.863511841864591,fetched
0.1254100799560547,-0.3810265983344501,0.6637586623492622,-0.008741021284119072,0.372285577050331,0.8276481664789863,-8.699176022514232,fetched
0.1300487518310547,0.3638632527509793,0.6637586623492622,-0.008713720724589489,-0.3725769734755688,0.7483947786255742,-8.527914694920632,fetched
0.1346874237060547,0.4398747692571456,0.6637586623492622,-0.008676898346971888,-0.44855166760411747,0.6805650179507977,-8.350247160487749,fetched
0.1393260955810547,-0.2853758104471708,0.6637586623492622,-0.00867529732315682,0.276700513124014,0.6224243868211549,-8.166789247691016,fetched
