time,strain,strain_normalized,strain_raw,strain_uncertainty,strain_uncertainty_raw,event_id,detector,source_status
0.0001659393310546875,0.312732755836333,0.312732755836333,4.1348081483897447e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.0048046112060546875,-0.575859128992101,-0.575859128992101,-7.613743601988655e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.009443283081054688,-0.6445723501659785,-0.6445723501659785,-8.522238096120077e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.014081954956054688,-0.13063280904786012,-0.13063280904786012,-1.7271667045354654e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.018720626831054688,-0.45749928604084716,-0.45749928604084716,-6.048844390301673e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.023359298706054688,0.20225233126686237,0.20225233126686237,2.6740869696128164e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.027997970581054688,0.6984860443325493,0.6984860443325493,9.235060075236316e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.03263664245605469,0.3052840713918781,0.3052840713918781,4.036325080783502e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.03727531433105469,-0.9992436583642746,-0.9992436583642746,-1.3211538426098462e-21,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.04191398620605469,-0.29591650463395935,-0.29591650463395935,-3.912471436934637e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.04655265808105469,0.1034815347802587,0.1034815347802587,1.368185088488835e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.05119132995605469,0.6871221441646793,0.6871221441646793,9.084811832496474e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.05583000183105469,-0.099401696337492,-0.099401696337492,-1.3142433477455213e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.06046867370605469,0.2787992948795737,0.2787992948795737,3.68615559041944e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.06510734558105469,0.06285210236459507,0.06285210236459507,8.310014865745677e-23,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.06974601745605469,-0.725663655585536,-0.725663655585536,-9.594389906747244e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.07438468933105469,-0.0766400115700461,-0.0766400115700461,-1.0132988579499953e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
0.07902336120605469,0.29417935240252385,0.29417935240252385,3.8895036119547304e-22,0.6637586623492622,8.775910659906485e-22,GW150914_H1_public,H1,fetched
