case_id,observable_x,observed_shift,observed_uncertainty,baseline_shift,raw_observed_shift,raw_baseline_shift,reference_label,source_status
pound_rebka_1960,0.00225,-5.688490694540272e-06,5.555166693886984e-07,-5.466284026784792e-06,-2.56e-15,-2.46e-15,Pound-Rebka 22.5 m tower benchmark,cached
gravity_probe_a_1976,1.0,-1.0,6.999510034297599e-05,-0.999930004899657,-4.500315e-10,-4.5e-10,"Gravity Probe A 10,000 km benchmark",cached
