index,prime,gap,motif,run,domain
471,3343,12.0,E3.0,34,E3
472,3347,4.0,E1.1,95,E1
473,3359,12.0,E3.0,35,E3
474,3361,2.0,E1.0,89,E1
475,3371,10.0,E2.1,44,E2
476,3373,2.0,E1.0,90,E1
477,3389,16.0,E1.3,9,E1
478,3391,2.0,E1.0,91,E1
479,3407,16.0,E1.3,10,E1
480,3413,6.0,E2.0,117,E2
481,3433,20.0,E3.1,4,E3
482,3449,16.0,E1.3,11,E1
483,3457,8.0,E1.2,45,E1
484,3461,4.0,E1.1,96,E1
485,3463,2.0,E1.0,92,E1
486,3467,4.0,E1.1,97,E1
487,3469,2.0,E1.0,93,E1
488,3491,22.0,E2.4,6,E2
489,3499,8.0,E1.2,46,E1
490,3511,12.0,E3.0,36,E3
491,3517,6.0,E2.0,118,E2
492,3527,10.0,E2.1,45,E2
493,3529,2.0,E1.0,94,E1
494,3533,4.0,E1.1,98,E1
495,3539,6.0,E2.0,119,E2
496,3541,2.0,E1.0,95,E1
497,3547,6.0,E2.0,120,E2
498,3557,10.0,E2.1,46,E2
499,3559,2.0,E1.0,96,E1
500,3571,12.0,E3.0,37,E3
501,3581,10.0,E2.1,47,E2
502,3583,2.0,E1.0,97,E1
503,3593,10.0,E2.1,48,E2
