index,prime,gap,motif,run,domain
897,6977,6.0,E2.0,220,E2
898,6983,6.0,E2.0,221,E2
899,6991,8.0,E1.2,76,E1
900,6997,6.0,E2.0,222,E2
901,7001,4.0,E1.1,153,E1
902,7013,12.0,E3.0,65,E3
903,7019,6.0,E2.0,223,E2
904,7027,8.0,E1.2,77,E1
905,7039,12.0,E3.0,66,E3
906,7043,4.0,E1.1,154,E1
907,7057,14.0,E2.2,36,E2
908,7069,12.0,E3.0,67,E3
909,7079,10.0,E2.1,93,E2
910,7103,24.0,E4.0,10,E4
911,7109,6.0,E2.0,224,E2
912,7121,12.0,E3.0,68,E3
913,7127,6.0,E2.0,225,E2
914,7129,2.0,E1.0,163,E1
915,7151,22.0,E2.4,12,E2
916,7159,8.0,E1.2,78,E1
917,7177,18.0,E2.3,28,E2
918,7187,10.0,E2.1,94,E2
919,7193,6.0,E2.0,226,E2
920,7207,14.0,E2.2,37,E2
921,7211,4.0,E1.1,155,E1
922,7213,2.0,E1.0,164,E1
923,7219,6.0,E2.0,227,E2
924,7229,10.0,E2.1,95,E2
925,7237,8.0,E1.2,79,E1
926,7243,6.0,E2.0,228,E2
927,7247,4.0,E1.1,156,E1
928,7253,6.0,E2.0,229,E2
929,7283,30.0,E2.6,7,E2
930,7297,14.0,E2.2,38,E2
931,7307,10.0,E2.1,96,E2
932,7309,2.0,E1.0,165,E1
933,7321,12.0,E3.0,69,E3
934,7331,10.0,E2.1,97,E2
935,7333,2.0,E1.0,166,E1
936,7349,16.0,E1.3,25,E1
937,7351,2.0,E1.0,167,E1
938,7369,18.0,E2.3,29,E2
939,7393,24.0,E4.0,11,E4
940,7411,18.0,E2.3,30,E2
941,7417,6.0,E2.0,230,E2
942,7433,16.0,E1.3,26,E1
943,7451,18.0,E2.3,31,E2
944,7457,6.0,E2.0,231,E2
945,7459,2.0,E1.0,168,E1
946,7477,18.0,E2.3,32,E2
947,7481,4.0,E1.1,157,E1
948,7487,6.0,E2.0,232,E2
949,7489,2.0,E1.0,169,E1
950,7499,10.0,E2.1,98,E2
951,7507,8.0,E1.2,80,E1
952,7517,10.0,E2.1,99,E2
953,7523,6.0,E2.0,233,E2
954,7529,6.0,E2.0,234,E2
955,7537,8.0,E1.2,81,E1
956,7541,4.0,E1.1,158,E1
957,7547,6.0,E2.0,235,E2
958,7549,2.0,E1.0,170,E1
959,7559,10.0,E2.1,100,E2
960,7561,2.0,E1.0,171,E1
961,7573,12.0,E3.0,70,E3
962,7577,4.0,E1.1,159,E1
963,7583,6.0,E2.0,236,E2
964,7589,6.0,E2.0,237,E2
965,7591,2.0,E1.0,172,E1
966,7603,12.0,E3.0,71,E3
967,7607,4.0,E1.1,160,E1
968,7621,14.0,E2.2,39,E2
969,7639,18.0,E2.3,33,E2
970,7643,4.0,E1.1,161,E1
971,7649,6.0,E2.0,238,E2
972,7669,20.0,E3.1,10,E3
973,7673,4.0,E1.1,162,E1
974,7681,8.0,E1.2,82,E1
975,7687,6.0,E2.0,239,E2
976,7691,4.0,E1.1,163,E1
977,7699,8.0,E1.2,83,E1
978,7703,4.0,E1.1,164,E1
979,7717,14.0,E2.2,40,E2
980,7723,6.0,E2.0,240,E2
981,7727,4.0,E1.1,165,E1
982,7741,14.0,E2.2,41,E2
983,7753,12.0,E3.0,72,E3
984,7757,4.0,E1.1,166,E1
985,7759,2.0,E1.0,173,E1
986,7789,30.0,E2.6,8,E2
987,7793,4.0,E1.1,167,E1
988,7817,24.0,E4.0,12,E4
989,7823,6.0,E2.0,241,E2
990,7829,6.0,E2.0,242,E2
991,7841,12.0,E3.0,73,E3
992,7853,12.0,E3.0,74,E3
993,7867,14.0,E2.2,42,E2
994,7873,6.0,E2.0,243,E2
995,7877,4.0,E1.1,168,E1
996,7879,2.0,E1.0,174,E1
997,7883,4.0,E1.1,169,E1
998,7901,18.0,E2.3,34,E2
999,7907,6.0,E2.0,244,E2
1000,7919,12.0,E3.0,75,E3
