metric,value,claim_boundary
grid_size,256,finite illustrative simulation; repository-linked computational artifact; not a formal proof substitute
steps,120,finite illustrative simulation; repository-linked computational artifact; not a formal proof substitute
stable,True,finite illustrative simulation; repository-linked computational artifact; not a formal proof substitute
