split,train_rmse,validation_rmse,rmse,mae,snr_db,generalization_gap
train,0.18813994526863098,,,,,
validation,,0.22977371513843536,,,,
test,0.18813994526863098,0.22977371513843536,0.17933492362499237,0.15013471245765686,10.204721450805664,-0.00880502164363861
