sample,true_index,true_label,predicted_index,predicted_label,confidence,correct,metric_producer
0,0,low_250_hz,0,low_250_hz,0.3726721704006195,True,SOInet
1,0,low_250_hz,0,low_250_hz,0.37305158376693726,True,SOInet
2,1,middle_500_hz,1,middle_500_hz,0.3724937438964844,True,SOInet
3,1,middle_500_hz,1,middle_500_hz,0.3717234134674072,True,SOInet
4,2,high_1000_hz,2,high_1000_hz,0.4822777509689331,True,SOInet
5,2,high_1000_hz,2,high_1000_hz,0.48206251859664917,True,SOInet
