split,train_rmse,validation_rmse,rmse,mae,snr_db,generalization_gap
train,0.3556649684906006,,,,,
validation,,0.5031751394271851,,,,
test,0.3556649684906006,0.5031751394271851,0.5447667241096497,0.5029426217079163,0.024526940658688545,0.18910175561904907
