sample,target,prediction,absolute_error,metric_producer
0,0.5191611647605896,0.12336966395378113,0.39579150080680847,SOInet
1,0.6252913475036621,0.06735602021217346,0.557935357093811,SOInet
2,0.6463966369628906,0.06794175505638123,0.578454852104187,SOInet
3,-0.43177083134651184,0.11495193839073181,0.5467227697372437,SOInet
4,-0.5938934087753296,0.08967790007591248,0.6835713386535645,SOInet
5,-0.6105809211730957,0.10316541790962219,0.7137463092803955,SOInet
6,0.07988765090703964,0.07662150263786316,0.003266148269176483,SOInet
7,0.6252515912055969,0.08119884133338928,0.5440527200698853,SOInet
